atclNm,bildNm,flrInfo,spc2,tradTpNm,prc,rentPrc,hanPrc,direction,atclNo,atclFetrDesc,atclCfmYmd,지역1,지역2,지역3,date
남운학성타운,102동,12/12,135,전세,25000,0,"2억 5,000",남향,2224343217,화장실2대 도배장판 깨끗히 수리해드림.,22.07.19.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,9/20,84,매매,37000,0,"3억 7,000",남향,2224362976,발코니확장 하이트 톤 리모델링 수납시설 넉넉함  남향 뷰짱 생활편리,22.07.19.,울산광역시,중구,학성동,2022-07-29
플로랜스쉐르빌(주상복합),1동,8/15,77,매매,31000,0,"3억 1,000",서향,2225701851,공실입니다 즉시입주가능,22.07.29.,울산광역시,중구,학성동,2022-07-29
프리미엄빌리지(주상복합),1동,7/9,64,매매,28000,0,"2억 8,000",북향,2225571885,태화강뷰 굉장히 저렴한집 조정가능,22.07.28.,울산광역시,중구,학성동,2022-07-29
KT,1동,5/5,52,월세,2000,35,"2,000",남향,2225404455,"O 리모델링 O 방2,거실 O 남향 O 아파트 O",22.07.26.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,중/20,84,매매,37500,0,"3억 7,500",남향,2224856212,남향 태화강조망좋고 햇살좋음 신축4년 재래시장및 생활편리 전세안고매매,22.07.22.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,7/20,84,매매,31500,0,"3억 1,500",남향,2225207550,"신축첫입주 넉넉한수납공간 태화강 산책로, 태화강 영구조망대출가능 강추",22.07.25.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,13/20,84,매매,42000,0,"4억 2,000",남향,2223666743,"입주협의가능,깨끗하게 관리된집,전망좋고 교통입지 좋습니다.",22.07.13.,울산광역시,중구,학성동,2022-07-29
삼화,1동,중/4,47,매매,12000,0,"1억 2,000",남향,2225764567,소형 아파트 수리요함 즉시입주가능해요,22.07.29.,울산광역시,중구,학성동,2022-07-29
KT,1동,고/5,52,월세,2000,35,"2,000",동향,2225446367,"학성동, 방2개, 거실, 리모델링.",22.07.27.,울산광역시,중구,학성동,2022-07-29
