atclNm,bildNm,flrInfo,spc2,tradTpNm,prcInfo,date
평창리비에르2차,210동,6/18,84.55,매매,30000,2022-05-18
평창리비에르2차,205동,5/18,84.55,매매,30500,2022-05-18
평창리비에르2차,221동,9/18,84.55,매매,40000,2022-05-18
평창리비에르2차,210동,저/18,84.55,매매,33000,2022-05-18
평창리비에르2차,206동,고/18,84.55,매매,33000,2022-05-18
평창리비에르2차,219동,저/18,84.55,매매,32000,2022-05-18
평창리비에르2차,217동,4/18,84.55,매매,36000,2022-05-18
평창리비에르2차,201동,16/18,84.55,매매,36500,2022-05-18
평창리비에르2차,212동,10/18,84.55,매매,35000,2022-05-18
평창리비에르2차,223동,7/18,84.55,매매,36000,2022-05-18
평창리비에르2차,206동,17/18,84.55,매매,32000,2022-05-18
평창리비에르2차,214동,고/18,84.55,매매,34500,2022-05-18
평창리비에르2차,221동,9/18,84.55,매매,39500,2022-05-18
평창리비에르2차,205동,고/18,84.55,매매,34000,2022-05-18
평창리비에르2차,209동,저/18,84.55,매매,32000,2022-05-18
평창리비에르2차,213동,14/18,71.54,매매,28000,2022-05-18
평창리비에르2차,201동,6/18,84.55,매매,34000,2022-05-18
평창리비에르2차,211동,저/18,84.55,매매,30000,2022-05-18
평창리비에르2차,213동,13/18,71.54,매매,28000,2022-05-18
평창리비에르2차,215동,중/18,84.55,매매,35500,2022-05-18
평창리비에르2차,219동,12/18,84.55,매매,37300,2022-05-18
평창리비에르2차,201동,고/18,84.55,매매,35000,2022-05-18
평창리비에르2차,213동,고/18,71.54,매매,28500,2022-05-18
평창리비에르2차,216동,저/18,84.55,매매,32000,2022-05-18
평창리비에르2차,214동,7/18,84.55,매매,36000,2022-05-18
평창리비에르2차,211동,저/18,84.55,매매,30500,2022-05-18
평창리비에르2차,210동,16/18,84.55,매매,36000,2022-05-18
평창리비에르2차,216동,저/18,84.55,매매,36000,2022-05-18
평창리비에르2차,207동,저/18,71.54,매매,26300,2022-05-18
평창리비에르2차,220동,3/18,71.54,매매,30000,2022-05-18
평창리비에르2차,214동,저/18,84.55,전세,28000,2022-05-18
평창리비에르2차,210동,중/18,84.55,매매,33500,2022-05-18
평창리비에르2차,202동,고/18,84.55,매매,31000,2022-05-18
평창리비에르2차,210동,저/18,84.55,매매,35000,2022-05-18
평창리비에르2차,210동,4/18,84.55,매매,32000,2022-05-18
평창리비에르2차,219동,중/18,84.55,매매,36000,2022-05-18
평창리비에르2차,214동,4/18,84.55,매매,30000,2022-05-18
평창리비에르2차,211동,11/18,84.55,매매,33500,2022-05-18
평창리비에르2차,207동,16/18,71.54,매매,27000,2022-05-18
평창리비에르2차,206동,저/18,84.55,매매,32500,2022-05-18
평창리비에르2차,204동,13/18,84.55,매매,33500,2022-05-18
평창리비에르2차,223동,중/18,84.55,매매,37000,2022-05-18
평창리비에르2차,220동,저/18,71.54,매매,30000,2022-05-18
평창리비에르2차,211동,2/18,84.55,매매,30000,2022-05-18
평창리비에르2차,217동,저/18,84.55,매매,36000,2022-05-18
평창리비에르2차,214동,저/18,84.55,전세,28000,2022-05-18
평창리비에르2차,213동,고/18,71.54,매매,28700,2022-05-18
평창리비에르2차,214동,중/18,84.55,매매,36000,2022-05-18
평창리비에르2차,205동,고/18,84.55,매매,34000,2022-05-18
평창리비에르2차,211동,중/18,84.55,매매,33000,2022-05-18
평창리비에르2차,219동,저/18,84.55,매매,32000,2022-05-18
평창리비에르2차,209동,저/18,84.55,매매,31000,2022-05-18
평창리비에르2차,210동,고/18,84.55,매매,36000,2022-05-18
평창리비에르2차,217동,고/18,84.55,매매,36500,2022-05-18
화봉쌍용예가,102동,1/11,84.98,매매,47000,2022-05-18
화봉쌍용예가,114동,4/9,84.98,매매,50000,2022-05-18
화봉쌍용예가,112동,6/9,84.98,매매,46000,2022-05-18
화봉쌍용예가,101동,3/10,84.98,매매,49000,2022-05-18
화봉쌍용예가,102동,6/11,84.98,매매,48000,2022-05-18
화봉쌍용예가,101동,고/10,84.98,매매,48900,2022-05-18
화봉쌍용예가,109동,저/10,84.98,매매,48000,2022-05-18
화봉쌍용예가,111동,2/9,84.96,매매,48000,2022-05-18
화봉쌍용예가,108동,4/9,84.98,매매,49000,2022-05-18
