name,z,lat,lon,cortarNo
진주시,,,,
진주시 망경동,14,35.180744,128.084706,4817010100
진주시 주약동,14,35.1706,128.0848,4817010200
진주시 강남동,14,35.187268,128.085563,4817010300
진주시 칠암동,14,35.183519,128.09183,4817010400
진주시 본성동,14,35.1906,128.0822,4817010500
진주시 동성동,14,35.191551,128.0852,4817010600
진주시 남성동,14,35.18896,128.077213,4817010700
진주시 인사동,14,35.1911,128.0741,4817010800
진주시 대안동,14,35.1948,128.0839,4817010900
진주시 평안동,14,35.197618,128.083188,4817011000
진주시 중안동,14,35.193593,128.081263,4817011100
진주시 계동,14,35.196681,128.080799,4817011200
진주시 봉곡동,14,35.194818,128.075063,4817011300
진주시 상봉동,,,,
진주시 봉래동,14,35.202,128.0845,4817011500
진주시 수정동,14,35.1978,128.0856,4817011600
진주시 장대동,14,35.1932,128.0881,4817011700
진주시 옥봉동,14,35.192518,128.091293,4817011800
진주시 상대동,14,35.1847,128.1084,4817011900
진주시 하대동,14,35.191443,128.1169,4817012000
진주시 상평동,14,35.176151,128.109087,4817012100
진주시 초전동,14,35.206,128.1168,4817012200
진주시 장재동,14,35.2152,128.1018,4817012300
진주시 하촌동,14,35.2178,128.0815,4817012400
진주시 신안동,14,35.184485,128.068982,4817012500
진주시 평거동,14,35.17381,128.065425,4817012600
진주시 이현동,14,35.192784,128.061745,4817012700
진주시 유곡동,14,35.203801,128.058888,4817012800
진주시 판문동,14,35.168229,128.052234,4817012900
진주시 귀곡동,14,35.1687,128.0163,4817013000
진주시 가좌동,14,35.1561,128.1033,4817013100
진주시 호탄동,14,35.1645,128.1233,4817013200
진주시 충무공동,14,35.18213,128.1366,4817013700
진주시 문산읍,14,35.169201,128.164238,4817025000
진주시 문산읍 상문리,,,,
진주시 문산읍 소문리,,,,
진주시 문산읍 삼곡리,,,,
진주시 문산읍 이곡리,,,,
진주시 문산읍 안전리,,,,
진주시 문산읍 옥산리,,,,
진주시 문산읍 갈곡리,,,,
진주시 문산읍 두산리,,,,
진주시 내동면,14,35.165488,128.067396,4817031000
진주시 내동면 독산리,,,,
진주시 내동면 신율리,,,,
진주시 내동면 삼계리,,,,
진주시 내동면 유수리,,,,
진주시 내동면 내평리,,,,
진주시 정촌면,14,35.131258,128.102906,4817032000
진주시 정촌면 화개리,,,,
진주시 정촌면 관봉리,,,,
진주시 정촌면 소곡리,,,,
진주시 정촌면 예상리,,,,
진주시 정촌면 예하리,,,,
진주시 정촌면 대축리,,,,
진주시 금곡면,14,35.09439,128.187862,4817033000
진주시 금곡면 검암리,,,,
진주시 금곡면 가봉리,,,,
진주시 금곡면 송곡리,,,,
진주시 금곡면 정자리,,,,
진주시 금곡면 인담리,,,,
진주시 금곡면 동례리,,,,
진주시 금곡면 두문리,,,,
진주시 금곡면 죽곡리,,,,
진주시 금곡면 성산리,,,,
진주시 진성면,14,35.18488,128.223305,4817035000
진주시 진성면 상촌리,,,,
진주시 진성면 대사리,,,,
진주시 진성면 온수리,,,,
진주시 진성면 천곡리,,,,
진주시 진성면 가진리,,,,
진주시 진성면 구천리,,,,
진주시 진성면 동산리,,,,
진주시 일반성면,14,35.171141,128.277113,4817036000
진주시 일반성면 창촌리,,,,
진주시 일반성면 가선리,,,,
진주시 일반성면 개암리,,,,
진주시 일반성면 답천리,,,,
진주시 일반성면 운천리,,,,
진주시 일반성면 남산리,,,,
진주시 이반성면,14,35.169275,128.326371,4817037000
진주시 이반성면 장안리,,,,
진주시 이반성면 평촌리,,,,
진주시 이반성면 하곡리,,,,
진주시 이반성면 용암리,,,,
진주시 이반성면 가산리,,,,
진주시 이반성면 대천리,,,,
진주시 이반성면 길성리,,,,
진주시 이반성면 발산리,,,,
진주시 사봉면,14,35.188797,128.270301,4817038000
진주시 사봉면 마성리,,,,
진주시 사봉면 방촌리,,,,
진주시 사봉면 무촌리,,,,
진주시 사봉면 사곡리,,,,
진주시 사봉면 봉곡리,,,,
진주시 사봉면 부계리,,,,
진주시 지수면,14,35.235082,128.269587,4817039000
진주시 지수면 청원리,,,,
진주시 지수면 금곡리,,,,
진주시 지수면 압사리,,,,
진주시 지수면 용봉리,,,,
진주시 지수면 청담리,,,,
진주시 지수면 승산리,,,,
진주시 대곡면,14,35.264325,128.1694,4817040000
진주시 대곡면 설매리,,,,
진주시 대곡면 광석리,,,,
진주시 대곡면 유곡리,,,,
진주시 대곡면 단목리,,,,
진주시 대곡면 월아리,,,,
진주시 대곡면 와룡리,,,,
진주시 대곡면 가정리,,,,
진주시 대곡면 덕곡리,,,,
진주시 대곡면 마진리,,,,
진주시 대곡면 대곡리,,,,
진주시 대곡면 월암리,,,,
진주시 대곡면 용암리,,,,
진주시 금산면,14,35.214016,128.147999,4817041000
진주시 금산면 가방리,,,,
진주시 금산면 용아리,,,,
진주시 금산면 갈전리,,,,
진주시 금산면 속사리,,,,
진주시 금산면 송백리,,,,
진주시 금산면 중천리,,,,
진주시 금산면 장사리,,,,
진주시 집현면,14,35.239045,128.086367,4817042000
진주시 집현면 지내리,,,,
진주시 집현면 봉강리,,,,
