name,z,lat,lon,cortarNo
경상북도,,,,
경상북도 포항시,,,,
경상북도 포항시 남구,,,,
경상북도 포항시 남구 상도동,,,,
경상북도 포항시 남구 대도동,,,,
경상북도 포항시 남구 해도동,,,,
경상북도 포항시 남구 송도동,,,,
경상북도 포항시 남구 청림동,,,,
경상북도 포항시 남구 일월동,,,,
경상북도 포항시 남구 송정동,14,35.902015,128.035213,4715045000
경상북도 포항시 남구 송내동,,,,
경상북도 포항시 남구 괴동동,,,,
경상북도 포항시 남구 동촌동,,,,
경상북도 포항시 남구 장흥동,,,,
경상북도 포항시 남구 인덕동,,,,
경상북도 포항시 남구 호동,,,,
경상북도 포항시 남구 효자동,,,,
경상북도 포항시 남구 지곡동,,,,
경상북도 포항시 남구 대잠동,,,,
경상북도 포항시 남구 이동,,,,
경상북도 포항시 남구 구룡포읍,,,,
경상북도 포항시 남구 구룡포읍 구룡포리,14,36.565697,128.731235,4717010100
경상북도 포항시 남구 구룡포읍 삼정리,14,36.565869,128.728725,4717010200
경상북도 포항시 남구 구룡포읍 석병리,14,36.567449,128.731069,4717010300
경상북도 포항시 남구 구룡포읍 성동리,14,36.582303,128.734843,4717010400
경상북도 포항시 남구 구룡포읍 구평리,14,36.5738,128.7364,4717010500
경상북도 포항시 남구 구룡포읍 장길리,14,36.5698,128.7354,4717010600
경상북도 포항시 남구 구룡포읍 하정리,14,36.567723,128.735217,4717010700
경상북도 포항시 남구 구룡포읍 병포리,14,36.568,128.7393,4717010800
경상북도 포항시 남구 구룡포읍 후동리,14,36.5647,128.742,4717010900
경상북도 포항시 남구 구룡포읍 눌태리,14,36.55915,128.749587,4717011000
경상북도 포항시 남구 연일읍,14,36.565233,128.735681,4717011100
경상북도 포항시 남구 연일읍 생지리,14,36.5654,128.7337,4717011200
경상북도 포항시 남구 연일읍 괴정리,14,36.561,128.7309,4717011300
경상북도 포항시 남구 연일읍 동문리,14,36.562983,128.72745,4717011400
경상북도 포항시 남구 연일읍 오천리,14,36.564041,128.730786,4717011500
경상북도 포항시 남구 연일읍 유강리,14,36.5644,128.7286,4717011600
경상북도 포항시 남구 연일읍 자명리,14,36.5622,128.7253,4717011700
경상북도 포항시 남구 연일읍 학전리,14,36.566042,128.72567,4717011800
경상북도 포항시 남구 연일읍 달전리,14,36.5599,128.7226,4717011900
경상북도 포항시 남구 연일읍 중명리,14,36.565952,128.722537,4717012000
경상북도 포항시 남구 연일읍 중단리,14,36.5624,128.7188,4717012100
경상북도 포항시 남구 연일읍 택전리,14,36.562667,128.713687,4717012200
경상북도 포항시 남구 연일읍 인주리,14,36.569962,128.727383,4717012300
경상북도 포항시 남구 연일읍 우복리,14,36.566891,128.728602,4717012400
경상북도 포항시 남구 오천읍,14,36.570842,128.724912,4717012500
경상북도 포항시 남구 오천읍 원리,14,36.569742,128.720937,4717012600
경상북도 포항시 남구 오천읍 문덕리,14,36.569121,128.713083,4717012700
경상북도 포항시 남구 오천읍 항사리,14,36.582986,128.714295,4717012800
경상북도 포항시 남구 오천읍 진전리,14,36.5735,128.7099,4717012900
경상북도 포항시 남구 오천읍 갈평리,14,36.5711,128.7674,4717013000
경상북도 포항시 남구 오천읍 문충리,14,36.5798,128.7519,4717013100
경상북도 포항시 남구 오천읍 용산리,14,36.5858,128.7282,4717013200
경상북도 포항시 남구 오천읍 광명리,14,36.561542,128.70175,4717013300
경상북도 포항시 남구 오천읍 세계리,14,36.5988,128.7095,4717013400
경상북도 포항시 남구 오천읍 용덕리,14,36.5877,128.6851,4717013500
경상북도 포항시 남구 오천읍 구정리,14,36.5766,128.700763,4717013600
경상북도 포항시 남구 대송면,14,36.5485,128.798225,4717013700
경상북도 포항시 남구 대송면 공수리,14,36.573,128.7976,4717013800
경상북도 포항시 남구 대송면 장동리,14,36.5436,128.75235,4717013900
경상북도 포항시 남구 대송면 홍계리,14,36.5438,128.7292,4717014000
경상북도 포항시 남구 대송면 산여리,14,36.539883,128.706125,4717014100
경상북도 포항시 남구 대송면 대각리,14,36.5459,128.6816,4717014200
경상북도 포항시 남구 대송면 송동리,14,36.580125,128.572025,4717025000
경상북도 포항시 남구 대송면 제내리,,,,
경상북도 포항시 남구 대송면 옥명리,,,,
경상북도 포항시 남구 대송면 남성리,,,,
경상북도 포항시 남구 동해면,,,,
경상북도 포항시 남구 동해면 도구리,,,,
경상북도 포항시 남구 동해면 약전리,,,,
경상북도 포항시 남구 동해면 금광리,,,,
경상북도 포항시 남구 동해면 신정리,,,,
경상북도 포항시 남구 동해면 석리,,,,
경상북도 포항시 남구 동해면 임곡리,,,,
경상북도 포항시 남구 동해면 입암리,,,,
경상북도 포항시 남구 동해면 마산리,,,,
경상북도 포항시 남구 동해면 흥환리,,,,
경상북도 포항시 남구 동해면 중흥리,,,,
경상북도 포항시 남구 동해면 발산리,,,,
경상북도 포항시 남구 동해면 상정리,,,,
경상북도 포항시 남구 동해면 중산리,,,,
경상북도 포항시 남구 동해면 공당리,,,,
경상북도 포항시 남구 장기면,,,,
경상북도 포항시 남구 장기면 읍내리,14,36.61644,128.766413,4717031000
경상북도 포항시 남구 장기면 마현리,,,,
경상북도 포항시 남구 장기면 금곡리,,,,
경상북도 포항시 남구 장기면 영암리,,,,
경상북도 포항시 남구 장기면 신창리,,,,
경상북도 포항시 남구 장기면 양포리,,,,
