name,z,lat,lon,cortarNo
경주시,,,,
경주시 동부동,14,35.8458,129.212,4713010100
경주시 서부동,14,35.847,129.2085,4713010200
경주시 북부동,14,35.8487,129.2121,4713010300
경주시 성동동,14,35.8486,129.2178,4713010400
경주시 황오동,14,35.841409,129.21477,4713010500
경주시 노동동,14,35.8422,129.2119,4713010600
경주시 노서동,14,35.8414,129.2054,4713010700
경주시 성건동,14,35.850824,129.20735,4713010800
경주시 사정동,14,35.8322,129.2059,4713010900
경주시 황남동,14,35.835268,129.210445,4713011000
경주시 교동,14,35.8282,129.2171,4713011100
경주시 인왕동,14,35.8279,129.2254,4713011200
경주시 탑동,14,35.8182,129.2122,4713011300
경주시 충효동,14,35.8485,129.1716,4713011400
경주시 서악동,14,35.827633,129.1871,4713011500
경주시 효현동,14,35.8254,129.1623,4713011600
경주시 광명동,14,35.8387,129.1429,4713011700
경주시 동방동,14,35.8096,129.2625,4713011800
경주시 도지동,14,35.7981,129.271,4713011900
경주시 남산동,14,35.7917,129.24,4713012000
경주시 배반동,14,35.8187,129.2489,4713012100
경주시 구황동,14,35.8349,129.2372,4713012200
경주시 보문동,14,35.8348,129.2554,4713012300
경주시 황성동,14,35.859883,129.218494,4713012400
경주시 용강동,14,35.864257,129.223187,4713012500
경주시 동천동,14,35.854792,129.222668,4713012600
경주시 평동,14,35.7791,129.2635,4713012700
경주시 조양동,14,35.7813,129.281,4713012800
경주시 시동,14,35.7562,129.2696,4713012900
경주시 시래동,14,35.7698,129.298,4713013000
경주시 구정동,14,35.7853,129.2998,4713013100
경주시 마동,14,35.7888,129.3176,4713013200
경주시 하동,14,35.8062,129.3188,4713013300
경주시 진현동,14,35.7886,129.3394,4713013400
경주시 천군동,14,35.8205,129.2875,4713013500
경주시 신평동,14,35.8439,129.2899,4713013600
경주시 덕동,14,35.8386,129.3217,4713013700
경주시 암곡동,14,35.8734,129.3331,4713013800
경주시 황용동,14,35.8296,129.353,4713013900
경주시 북군동,14,35.8605,129.2603,4713014000
경주시 손곡동,14,35.858,129.2934,4713014100
경주시 율동,14,35.8049,129.1815,4713014200
경주시 배동,14,35.8013,129.2149,4713014300
경주시 석장동,14,35.8589,129.1874,4713014400
경주시 감포읍,14,35.807411,129.501644,4713025000
경주시 감포읍 대본리,,,,
경주시 감포읍 전동리,,,,
경주시 감포읍 전촌리,,,,
경주시 감포읍 나정리,,,,
경주시 감포읍 오류리,,,,
경주시 감포읍 노동리,,,,
경주시 감포읍 팔조리,,,,
경주시 감포읍 호동리,,,,
경주시 감포읍 감포리,,,,
경주시 안강읍,14,35.990226,129.227088,4713025300
경주시 안강읍 검단리,,,,
경주시 안강읍 사방리,,,,
경주시 안강읍 갑산리,,,,
경주시 안강읍 대동리,,,,
경주시 안강읍 근계리,,,,
경주시 안강읍 육통리,,,,
경주시 안강읍 노당리,,,,
경주시 안강읍 옥산리,,,,
경주시 안강읍 두류리,,,,
경주시 안강읍 하곡리,,,,
경주시 안강읍 강교리,,,,
경주시 안강읍 산대리,,,,
경주시 안강읍 안강리,,,,
경주시 안강읍 양월리,,,,
경주시 안강읍 청령리,,,,
경주시 건천읍,14,35.850048,129.102205,4713025600
경주시 건천읍 대곡리,,,,
경주시 건천읍 용명리,,,,
경주시 건천읍 신평리,,,,
경주시 건천읍 송선리,,,,
경주시 건천읍 천포리,,,,
경주시 건천읍 화천리,,,,
경주시 건천읍 모량리,,,,
경주시 건천읍 방내리,,,,
경주시 건천읍 조전리,,,,
경주시 건천읍 금척리,,,,
경주시 건천읍 건천리,,,,
경주시 외동읍,14,35.716001,129.32505,4713025900
경주시 외동읍 입실리,,,,
경주시 외동읍 모화리,,,,
경주시 외동읍 석계리,,,,
경주시 외동읍 녹동리,,,,
경주시 외동읍 냉천리,,,,
경주시 외동읍 제내리,,,,
경주시 외동읍 연안리,,,,
경주시 외동읍 개곡리,,,,
경주시 외동읍 활성리,,,,
경주시 외동읍 말방리,,,,
경주시 외동읍 죽동리,,,,
경주시 외동읍 구어리,,,,
경주시 외동읍 방어리,,,,
경주시 외동읍 괘릉리,,,,
경주시 외동읍 신계리,,,,
경주시 외동읍 문산리,,,,
경주시 외동읍 북토리,,,,
경주시 문무대왕면,14,35.791133,129.443125,4713031500
경주시 문무대왕면 어일리,,,,
경주시 문무대왕면 입천리,,,,
경주시 문무대왕면 두산리,,,,
경주시 문무대왕면 송전리,,,,
경주시 문무대왕면 죽전리,,,,
경주시 문무대왕면 구길리,,,,
경주시 문무대왕면 용당리,,,,
경주시 문무대왕면 봉길리,,,,
경주시 문무대왕면 권이리,,,,
경주시 문무대왕면 호암리,,,,
경주시 문무대왕면 용동리,,,,
경주시 문무대왕면 와읍리,,,,
경주시 문무대왕면 안동리,,,,
경주시 문무대왕면 장항리,,,,
경주시 문무대왕면 범곡리,,,,
경주시 양남면,14,35.677811,129.460326,4713032000
경주시 양남면 하서리,,,,
경주시 양남면 수렴리,,,,
경주시 양남면 신서리,,,,
경주시 양남면 서동리,,,,
경주시 양남면 효동리,,,,
경주시 양남면 상계리,,,,
경주시 양남면 신대리,,,,
경주시 양남면 읍천리,,,,
경주시 양남면 석촌리,,,,
경주시 양남면 석읍리,,,,
경주시 양남면 기구리,,,,
경주시 양남면 환서리,,,,
경주시 양남면 상라리,,,,
경주시 양남면 나산리,,,,
경주시 양남면 나아리,,,,
경주시 내남면,14,35.752404,129.200136,4713033000
경주시 내남면 명계리,,,,
경주시 내남면 노곡리,,,,
경주시 내남면 월산리,,,,
경주시 내남면 이조리,,,,
경주시 내남면 용장리,,,,
경주시 내남면 망성리,,,,
경주시 내남면 화곡리,,,,
경주시 내남면 부지리,,,,
경주시 내남면 덕천리,,,,
경주시 내남면 상신리,,,,
경주시 내남면 안심리,,,,
경주시 내남면 박달리,,,,
경주시 내남면 비지리,,,,
경주시 산내면,14,35.757675,129.047225,4713034000
경주시 산내면 감산리,,,,
경주시 산내면 내칠리,,,,
경주시 산내면 외칠리,,,,
경주시 산내면 일부리,,,,
경주시 산내면 신원리,,,,
경주시 산내면 의곡리,,,,
경주시 산내면 내일리,,,,
경주시 산내면 우라리,,,,
경주시 산내면 대현리,,,,
경주시 서면,14,35.891432,129.052562,4713035000
경주시 서면 천촌리,,,,
경주시 서면 아화리,,,,
경주시 서면 도계리,,,,
경주시 서면 도리,,,,
경주시 서면 서오리,,,,
경주시 서면 심곡리,,,,
경주시 서면 사라리,,,,
경주시 서면 운대리,,,,
경주시 현곡면,14,35.86644,129.202395,4713036000
경주시 현곡면 라원리,,,,
경주시 현곡면 소현리,,,,
경주시 현곡면 하구리,,,,
경주시 현곡면 상구리,,,,
경주시 현곡면 무과리,,,,
경주시 현곡면 남사리,,,,
경주시 현곡면 금장리,,,,
경주시 현곡면 래태리,,,,
경주시 현곡면 가정리,,,,
경주시 현곡면 오류리,,,,
경주시 강동면,14,35.987785,129.273313,4713037000
경주시 강동면 모서리,,,,
경주시 강동면 호명리,,,,
경주시 강동면 안계리,,,,
경주시 강동면 다산리,,,,
경주시 강동면 단구리,,,,
경주시 강동면 유금리,,,,
경주시 강동면 오금리,,,,
경주시 강동면 왕신리,,,,
경주시 강동면 국당리,,,,
경주시 강동면 인동리,,,,
경주시 강동면 양동리,,,,
경주시 천북면,14,35.895314,129.271125,4713038000
경주시 천북면 물천리,,,,
경주시 천북면 덕산리,,,,
경주시 천북면 갈곡리,,,,
경주시 천북면 성지리,,,,
경주시 천북면 동산리,,,,
경주시 천북면 화산리,,,,
경주시 천북면 오야리,,,,
경주시 천북면 모아리,,,,
경주시 천북면 신당리,,,,
김천시,,,,
김천시 감호동,14,36.121084,128.128995,4715010100
김천시 용두동,14,36.12081,128.128317,4715010200
김천시 모암동,14,36.124,128.1257,4715010300
김천시 성내동,14,36.1243,128.1199,4715010400
김천시 평화동,14,36.125289,128.109541,4715010500
김천시 남산동,14,36.115,128.1133,4715010600
김천시 황금동,14,36.113082,128.120775,4715010700
김천시 신음동,14,36.1377,128.1219,4715010800
김천시 교동,14,36.1435,128.1033,4715010900
김천시 삼락동,14,36.1419,128.0793,4715011000
김천시 문당동,14,36.1565,128.0901,4715011100
김천시 다수동,14,36.1212,128.0627,4715011200
김천시 백옥동,14,36.1143,128.0745,4715011300
김천시 부곡동,14,36.1182,128.0961,4715011400
김천시 지좌동,14,36.119724,128.144525,4715011500
김천시 덕곡동,14,36.1188,128.1543,4715011600
김천시 대광동,14,36.1444,128.1431,4715011700
김천시 응명동,14,36.1497,128.1212,4715011800
김천시 양천동,14,36.0939,128.1054,4715011900
김천시 율곡동,14,36.124874,128.18151,4715012000
김천시 아포읍,14,36.159889,128.253401,4715025000
김천시 아포읍 인리,,,,
김천시 아포읍 의리,,,,
김천시 아포읍 예리,,,,
김천시 아포읍 지리,,,,
김천시 아포읍 대신리,,,,
김천시 아포읍 봉산리,,,,
김천시 아포읍 제석리,,,,
김천시 아포읍 국사리,,,,
김천시 아포읍 송천리,,,,
김천시 아포읍 대성리,,,,
김천시 농소면,14,36.106092,128.172323,4715031000
김천시 농소면 입석리,,,,
김천시 농소면 신촌리,,,,
김천시 농소면 월곡리,,,,
김천시 농소면 용암리,,,,
김천시 농소면 봉곡리,,,,
김천시 농소면 연명리,,,,
김천시 농소면 노곡리,,,,
김천시 남면,14,36.107917,128.189496,4715032000
김천시 남면 옥산리,,,,
김천시 남면 운곡리,,,,
김천시 남면 송곡리,,,,
김천시 남면 월명리,,,,
김천시 남면 부상리,,,,
김천시 남면 오봉리,,,,
김천시 남면 봉천리,,,,
김천시 남면 초곡리,,,,
김천시 남면 운남리,,,,
김천시 개령면,14,36.165124,128.1915,4715034000
김천시 개령면 황계리,,,,
김천시 개령면 신룡리,,,,
김천시 개령면 덕촌리,,,,
