name,z,lat,lon,cortarNo
세종특별자치시,,,,
세종특별자치시 반곡동,14,36.491407,127.310367,3611010100
세종특별자치시 소담동,14,36.485005,127.300692,3611010200
세종특별자치시 보람동,14,36.478247,127.2888,3611010300
세종특별자치시 대평동,14,36.470083,127.274489,3611010400
세종특별자치시 가람동,14,36.471418,127.246634,3611010500
세종특별자치시 한솔동,14,36.477015,127.254352,3611010600
세종특별자치시 나성동,14,36.486603,127.264252,3611010700
세종특별자치시 새롬동,14,36.484415,127.24917,3611010800
세종특별자치시 다정동,14,36.493891,127.243908,3611010900
세종특별자치시 어진동,14,36.500811,127.265439,3611011000
세종특별자치시 종촌동,14,36.503818,127.247488,3611011100
세종특별자치시 고운동,14,36.51723,127.236034,3611011200
세종특별자치시 아름동,14,36.51719,127.250774,3611011300
세종특별자치시 도담동,14,36.515855,127.261988,3611011400
세종특별자치시 산울동,14,36.533612,127.256426,3611011500
세종특별자치시 해밀동,14,36.526096,127.270179,3611011600
세종특별자치시 합강동,14,36.525098,127.330385,3611011700
세종특별자치시 집현동,14,36.499226,127.329209,3611011800
세종특별자치시 조치원읍,14,36.591257,127.292639,3611025000
세종특별자치시 조치원읍 원리,,,,
세종특별자치시 조치원읍 상리,,,,
세종특별자치시 조치원읍 평리,,,,
세종특별자치시 조치원읍 교리,,,,
세종특별자치시 조치원읍 정리,,,,
세종특별자치시 조치원읍 명리,,,,
세종특별자치시 조치원읍 남리,,,,
세종특별자치시 조치원읍 침산리,,,,
세종특별자치시 조치원읍 신흥리,,,,
세종특별자치시 조치원읍 죽림리,,,,
세종특별자치시 조치원읍 번암리,,,,
세종특별자치시 조치원읍 신안리,,,,
세종특별자치시 조치원읍 봉산리,,,,
세종특별자치시 조치원읍 서창리,,,,
세종특별자치시 연기면,14,36.507777,127.279799,3611031000
세종특별자치시 연기면 연기리,,,,
세종특별자치시 연기면 보통리,,,,
세종특별자치시 연기면 눌왕리,,,,
세종특별자치시 연기면 수산리,,,,
세종특별자치시 연기면 세종리,,,,
세종특별자치시 연기면 누리리,,,,
세종특별자치시 연기면 한별리,,,,
세종특별자치시 연동면,14,36.550172,127.330047,3611032000
세종특별자치시 연동면 내판리,,,,
세종특별자치시 연동면 문주리,,,,
세종특별자치시 연동면 명학리,,,,
세종특별자치시 연동면 응암리,,,,
세종특별자치시 연동면 노송리,,,,
세종특별자치시 연동면 예양리,,,,
세종특별자치시 연동면 송용리,,,,
세종특별자치시 연동면 합강리,,,,
세종특별자치시 연동면 다솜리,,,,
세종특별자치시 연동면 용호리,,,,
세종특별자치시 부강면,14,36.528746,127.381015,3611033000
세종특별자치시 부강면 부강리,,,,
세종특별자치시 부강면 행산리,,,,
세종특별자치시 부강면 산수리,,,,
세종특별자치시 부강면 갈산리,,,,
세종특별자치시 부강면 문곡리,,,,
세종특별자치시 부강면 등곡리,,,,
세종특별자치시 부강면 노호리,,,,
세종특별자치시 부강면 금호리,,,,
세종특별자치시 금남면,,,,
세종특별자치시 금남면 용포리,,,,
세종특별자치시 금남면 발산리,,,,
세종특별자치시 금남면 감성리,,,,
세종특별자치시 금남면 두만리,,,,
세종특별자치시 금남면 용담리,,,,
세종특별자치시 금남면 축산리,,,,
세종특별자치시 금남면 금천리,,,,
세종특별자치시 금남면 영치리,,,,
세종특별자치시 금남면 남곡리,,,,
세종특별자치시 금남면 황용리,,,,
세종특별자치시 금남면 영대리,,,,
세종특별자치시 금남면 달전리,,,,
세종특별자치시 금남면 박산리,,,,
세종특별자치시 금남면 대박리,,,,
세종특별자치시 금남면 부용리,,,,
세종특별자치시 금남면 장재리,,,,
세종특별자치시 금남면 호탄리,,,,
세종특별자치시 금남면 신촌리,,,,
세종특별자치시 금남면 도암리,,,,
세종특별자치시 금남면 성덕리,,,,
세종특별자치시 금남면 영곡리,,,,
세종특별자치시 금남면 성강리,,,,
세종특별자치시 금남면 봉암리,,,,
세종특별자치시 금남면 국곡리,,,,
세종특별자치시 금남면 원봉리,,,,
세종특별자치시 금남면 도남리,,,,
세종특별자치시 장군면,14,36.507222,127.207236,3611035000
세종특별자치시 장군면 도계리,,,,
세종특별자치시 장군면 평기리,,,,
세종특별자치시 장군면 대교리,,,,
세종특별자치시 장군면 봉안리,,,,
세종특별자치시 장군면 금암리,,,,
세종특별자치시 장군면 하봉리,,,,
세종특별자치시 장군면 은용리,,,,
세종특별자치시 장군면 산학리,,,,
세종특별자치시 장군면 송문리,,,,
세종특별자치시 장군면 송정리,,,,
세종특별자치시 장군면 송학리,,,,
세종특별자치시 장군면 용현리,,,,
세종특별자치시 장군면 용암리,,,,
세종특별자치시 장군면 태산리,,,,
세종특별자치시 연서면,14,36.583436,127.247939,3611036000
세종특별자치시 연서면 월하리,,,,
세종특별자치시 연서면 쌍전리,,,,
세종특별자치시 연서면 성제리,,,,
세종특별자치시 연서면 고복리,,,,
세종특별자치시 연서면 용암리,,,,
세종특별자치시 연서면 쌍류리,,,,
세종특별자치시 연서면 청라리,,,,
세종특별자치시 연서면 기룡리,,,,
세종특별자치시 연서면 신대리,,,,
세종특별자치시 연서면 국촌리,,,,
세종특별자치시 연서면 와촌리,,,,
세종특별자치시 연서면 부동리,,,,
세종특별자치시 연서면 봉암리,,,,
세종특별자치시 전의면,14,36.655091,127.199423,3611037000
세종특별자치시 전의면 읍내리,,,,
세종특별자치시 전의면 동교리,,,,
세종특별자치시 전의면 서정리,,,,
세종특별자치시 전의면 원성리,,,,
세종특별자치시 전의면 신흥리,,,,
세종특별자치시 전의면 유천리,,,,
세종특별자치시 전의면 관정리,,,,
세종특별자치시 전의면 신정리,,,,
세종특별자치시 전의면 노곡리,,,,
세종특별자치시 전의면 신방리,,,,
세종특별자치시 전의면 영당리,,,,
세종특별자치시 전의면 양곡리,,,,
세종특별자치시 전의면 달전리,,,,
