name,z,lat,lon,cortarNo
전라북도 전주시,,,,
전라북도 전주시 완산구,,,,
전라북도 전주시 완산구 중앙동1가,14,35.816617,127.142226,4511110100
전라북도 전주시 완산구 중앙동2가,14,35.817108,127.143518,4511110200
전라북도 전주시 완산구 중앙동3가,14,35.817632,127.145173,4511110300
전라북도 전주시 완산구 중앙동4가,14,35.815161,127.144542,4511110400
전라북도 전주시 완산구 경원동1가,14,35.8176,127.1475,4511110500
전라북도 전주시 완산구 경원동2가,14,35.817963,127.149418,4511110600
전라북도 전주시 완산구 경원동3가,14,35.8209,127.149,4511110700
전라북도 전주시 완산구 풍남동1가,14,35.818517,127.151008,4511110800
전라북도 전주시 완산구 풍남동2가,14,35.818801,127.152579,4511110900
전라북도 전주시 완산구 풍남동3가,14,35.8159,127.1528,4511111000
전라북도 전주시 완산구 전동,14,35.813667,127.148275,4511111100
전라북도 전주시 완산구 전동3가,14,35.813045,127.144832,4511111200
전라북도 전주시 완산구 다가동1가,14,35.814793,127.141924,4511111300
전라북도 전주시 완산구 다가동2가,14,35.814433,127.141019,4511111400
전라북도 전주시 완산구 다가동3가,14,35.8171,127.139912,4511111500
전라북도 전주시 완산구 다가동4가,14,35.819717,127.13865,4511111600
전라북도 전주시 완산구 고사동,14,35.8203,127.143,4511111700
전라북도 전주시 완산구 교동,14,35.8122,127.1612,4511111800
전라북도 전주시 완산구 태평동,14,35.824,127.1382,4511111900
전라북도 전주시 완산구 중노송동,14,35.823375,127.1563,4511112000
전라북도 전주시 완산구 남노송동,14,35.819242,127.159,4511112100
전라북도 전주시 완산구 동완산동,14,35.8081,127.1438,4511112200
전라북도 전주시 완산구 서완산동1가,14,35.8105,127.1394,4511112300
전라북도 전주시 완산구 서완산동2가,14,35.810017,127.134738,4511112400
전라북도 전주시 완산구 동서학동,14,35.809508,127.1522,4511112500
전라북도 전주시 완산구 서서학동,14,35.805733,127.148675,4511112600
전라북도 전주시 완산구 중화산동1가,14,35.8153,127.1345,4511112700
전라북도 전주시 완산구 중화산동2가,14,35.816625,127.122475,4511112800
전라북도 전주시 완산구 서신동,14,35.830823,127.115493,4511112900
전라북도 전주시 완산구 석구동,14,35.7645,127.1323,4511113000
전라북도 전주시 완산구 원당동,14,35.7639,127.1109,4511113100
전라북도 전주시 완산구 평화동1가,14,35.7954,127.139013,4511113200
전라북도 전주시 완산구 평화동2가,14,35.784683,127.133538,4511113300
전라북도 전주시 완산구 평화동3가,14,35.7803,127.1231,4511113400
전라북도 전주시 완산구 중인동,14,35.7566,127.0891,4511113500
전라북도 전주시 완산구 용복동,14,35.7728,127.0796,4511113600
전라북도 전주시 완산구 삼천동1가,14,35.795592,127.1201,4511113700
전라북도 전주시 완산구 삼천동2가,14,35.7862,127.101,4511113800
전라북도 전주시 완산구 삼천동3가,14,35.79625,127.078875,4511113900
전라북도 전주시 완산구 효자동1가,14,35.805925,127.12545,4511114000
전라북도 전주시 완산구 효자동2가,14,35.8065,127.0987,4511114100
전라북도 전주시 완산구 효자동3가,14,35.8249,127.0972,4511114200
전라북도 전주시 완산구 대성동,14,35.7926,127.1728,4511114300
전라북도 전주시 완산구 색장동,14,35.7926,127.1963,4511114400
전라북도 전주시 완산구 상림동,14,35.818,127.0738,4511114500
전라북도 전주시 완산구 서노송동,14,35.826258,127.145988,4511114700
전라북도 전주시 덕진구,,,,
전라북도 전주시 덕진구 진북동,14,35.827973,127.131429,4511310200
전라북도 전주시 덕진구 인후동1가,14,35.8314,127.1577,4511310300
전라북도 전주시 덕진구 인후동2가,14,35.8416,127.1484,4511310400
전라북도 전주시 덕진구 덕진동1가,14,35.847182,127.125575,4511310500
전라북도 전주시 덕진구 덕진동2가,14,35.8456,127.113,4511310600
