name,z,lat,lon,cortarNo
창원시,,,,
창원시 의창구,,,,
창원시 의창구 북동,14,35.2662,128.6214,4812110100
창원시 의창구 중동,14,35.2634,128.6223,4812110200
창원시 의창구 서상동,14,35.261,128.6209,4812110300
창원시 의창구 소답동,14,35.2673,128.6274,4812110400
창원시 의창구 도계동,14,35.258375,128.638313,4812110500
창원시 의창구 동정동,14,35.2671,128.6097,4812110600
창원시 의창구 소계동,14,35.2624,128.5954,4812110700
창원시 의창구 용동,14,35.2417,128.7087,4812110800
창원시 의창구 덕정동,14,35.231099,128.644706,4812111200
창원시 의창구 지귀동,14,35.2501,128.6583,4812111300
창원시 의창구 서곡동,14,35.2522,128.6536,4812111400
창원시 의창구 봉림동,14,35.242476,128.681975,4812111600
창원시 의창구 퇴촌동,14,35.2526,128.693363,4812111700
창원시 의창구 명곡동,14,35.253875,128.6402,4812111800
창원시 의창구 반계동,14,35.2489,128.6264,4812111900
창원시 의창구 사화동,14,35.239996,128.636473,4812112000
창원시 의창구 차용동,14,35.229733,128.633202,4812112100
창원시 의창구 내리동,14,35.2263,128.6226,4812112200
창원시 의창구 명서동,14,35.2452,128.6445,4812112400
창원시 의창구 사림동,14,35.242526,128.685113,4812112500
창원시 의창구 봉곡동,14,35.2462,128.6631,4812112700
창원시 의창구 팔용동,14,35.255575,128.612838,4812112900
창원시 의창구 동읍,14,35.284725,128.682513,4812125000
창원시 의창구 동읍 용강리,,,,
창원시 의창구 동읍 용전리,,,,
창원시 의창구 동읍 남산리,,,,
창원시 의창구 동읍 덕천리,,,,
창원시 의창구 동읍 덕산리,,,,
창원시 의창구 동읍 봉산리,,,,
창원시 의창구 동읍 송정리,,,,
창원시 의창구 동읍 용정리,,,,
창원시 의창구 동읍 단계리,,,,
창원시 의창구 동읍 무성리,,,,
창원시 의창구 동읍 무점리,,,,
창원시 의창구 동읍 용잠리,,,,
창원시 의창구 동읍 신방리,,,,
창원시 의창구 동읍 다호리,,,,
창원시 의창구 동읍 월잠리,,,,
창원시 의창구 동읍 화양리,,,,
창원시 의창구 동읍 석산리,,,,
창원시 의창구 동읍 금산리,,,,
창원시 의창구 동읍 봉곡리,,,,
창원시 의창구 동읍 봉강리,,,,
창원시 의창구 동읍 본포리,,,,
창원시 의창구 동읍 노연리,,,,
창원시 의창구 동읍 산남리,,,,
창원시 의창구 동읍 죽동리,,,,
창원시 의창구 북면,14,35.34784,128.607025,4812131000
창원시 의창구 북면 지개리,,,,
창원시 의창구 북면 고암리,,,,
창원시 의창구 북면 대산리,,,,
창원시 의창구 북면 월촌리,,,,
창원시 의창구 북면 월백리,,,,
창원시 의창구 북면 화천리,,,,
창원시 의창구 북면 외감리,,,,
창원시 의창구 북면 감계리,,,,
창원시 의창구 북면 동전리,,,,
창원시 의창구 북면 무동리,,,,
창원시 의창구 북면 무곡리,,,,
창원시 의창구 북면 내곡리,,,,
창원시 의창구 북면 상천리,,,,
창원시 의창구 북면 하천리,,,,
창원시 의창구 북면 외산리,,,,
창원시 의창구 북면 신촌리,,,,
창원시 의창구 북면 마산리,,,,
창원시 의창구 북면 월계리,,,,
창원시 의창구 대산면,14,35.335377,128.708256,4812132000
