name,z,lat,lon,cortarNo
포항시,,,,
포항시 남구,,,,
포항시 남구 상도동,14,36.0116,129.3519,4711110100
포항시 남구 대도동,14,36.0159,129.3635,4711110200
포항시 남구 해도동,14,36.02,129.3713,4711110300
포항시 남구 송도동,14,36.031907,129.375474,4711110400
포항시 남구 청림동,14,35.997512,129.406435,4711110500
포항시 남구 일월동,14,35.9892,129.4222,4711110600
포항시 남구 송정동,14,36.0261,129.3944,4711110700
포항시 남구 송내동,14,36.0089,129.3843,4711110800
포항시 남구 괴동동,14,35.997251,129.374413,4711110900
포항시 남구 동촌동,14,36.002307,129.395926,4711111000
포항시 남구 장흥동,14,35.9799,129.3725,4711111100
포항시 남구 인덕동,14,35.987185,129.3975,4711111200
포항시 남구 호동,14,35.9821,129.3867,4711111300
포항시 남구 효자동,14,36.0082,129.3316,4711111400
포항시 남구 지곡동,14,36.0244,129.320775,4711111500
포항시 남구 대잠동,14,36.018075,129.339563,4711111600
포항시 남구 이동,14,36.033,129.334,4711111700
포항시 남구 구룡포읍,14,35.985108,129.546022,4711125000
포항시 남구 구룡포읍 구룡포리,,,,
포항시 남구 구룡포읍 삼정리,,,,
포항시 남구 구룡포읍 석병리,,,,
포항시 남구 구룡포읍 성동리,,,,
포항시 남구 구룡포읍 구평리,,,,
포항시 남구 구룡포읍 장길리,,,,
포항시 남구 구룡포읍 하정리,,,,
포항시 남구 구룡포읍 병포리,,,,
포항시 남구 구룡포읍 후동리,,,,
포항시 남구 구룡포읍 눌태리,,,,
포항시 남구 연일읍,14,35.991618,129.3441,4711125300
포항시 남구 연일읍 생지리,,,,
포항시 남구 연일읍 괴정리,,,,
포항시 남구 연일읍 동문리,,,,
포항시 남구 연일읍 오천리,,,,
포항시 남구 연일읍 유강리,,,,
포항시 남구 연일읍 자명리,,,,
포항시 남구 연일읍 학전리,,,,
포항시 남구 연일읍 달전리,,,,
포항시 남구 연일읍 중명리,,,,
포항시 남구 연일읍 중단리,,,,
포항시 남구 연일읍 택전리,,,,
포항시 남구 연일읍 인주리,,,,
포항시 남구 연일읍 우복리,,,,
포항시 남구 오천읍,14,35.963167,129.41466,4711125600
포항시 남구 오천읍 원리,,,,
포항시 남구 오천읍 문덕리,,,,
포항시 남구 오천읍 항사리,,,,
포항시 남구 오천읍 진전리,,,,
포항시 남구 오천읍 갈평리,,,,
포항시 남구 오천읍 문충리,,,,
포항시 남구 오천읍 용산리,,,,
포항시 남구 오천읍 광명리,,,,
포항시 남구 오천읍 세계리,,,,
포항시 남구 오천읍 용덕리,,,,
포항시 남구 오천읍 구정리,,,,
포항시 남구 대송면,14,35.968501,129.359925,4711131000
포항시 남구 대송면 공수리,,,,
포항시 남구 대송면 장동리,,,,
포항시 남구 대송면 홍계리,,,,
포항시 남구 대송면 산여리,,,,
포항시 남구 대송면 대각리,,,,
포항시 남구 대송면 송동리,,,,
포항시 남구 대송면 제내리,,,,
포항시 남구 대송면 옥명리,,,,
포항시 남구 대송면 남성리,,,,
포항시 남구 동해면,14,35.988473,129.440169,4711132000
포항시 남구 동해면 도구리,,,,
포항시 남구 동해면 약전리,,,,
포항시 남구 동해면 금광리,,,,
포항시 남구 동해면 신정리,,,,
포항시 남구 동해면 석리,,,,
포항시 남구 동해면 임곡리,,,,
포항시 남구 동해면 입암리,,,,
포항시 남구 동해면 마산리,,,,
포항시 남구 동해면 흥환리,,,,
포항시 남구 동해면 중흥리,,,,
포항시 남구 동해면 발산리,,,,
포항시 남구 동해면 상정리,,,,
포항시 남구 동해면 중산리,,,,
포항시 남구 동해면 공당리,,,,
포항시 남구 장기면,14,35.895757,129.492237,4711133000
포항시 남구 장기면 읍내리,,,,
포항시 남구 장기면 마현리,,,,
포항시 남구 장기면 금곡리,,,,
포항시 남구 장기면 영암리,,,,
포항시 남구 장기면 신창리,,,,
포항시 남구 장기면 양포리,,,,
포항시 남구 장기면 계원리,,,,
포항시 남구 장기면 두원리,,,,
포항시 남구 장기면 수성리,,,,
