name,z,lat,lon,cortarNo
울산광역시 중구 학성동,14,35.55535,129.334675,3111010100
울산광역시 중구 학산동,14,35.5554,129.3284,3111010200
울산광역시 중구 복산동,14,35.5651,129.329,3111010300
울산광역시 중구 북정동,14,35.560608,129.3213,3111010400
울산광역시 중구 옥교동,14,35.557542,129.32405,3111010500
울산광역시 중구 성남동,14,35.556658,129.320012,3111010600
울산광역시 중구 교동,14,35.562908,129.316,3111010700
울산광역시 중구 우정동,14,35.554783,129.312388,3111010800
울산광역시 중구 성안동,14,35.5802,129.3095,3111010900
울산광역시 중구 유곡동,14,35.5675,129.2938,3111011000
울산광역시 중구 태화동,14,35.556542,129.3045,3111011100
울산광역시 중구 다운동,14,35.556292,129.275675,3111011200
울산광역시 중구 동동,14,35.578391,129.349057,3111011300
울산광역시 중구 서동,14,35.578483,129.343063,3111011400
울산광역시 중구 남외동,14,35.5682,129.3474,3111011500
울산광역시 중구 장현동,14,35.5913,129.3376,3111011600
울산광역시 중구 약사동,14,35.570433,129.337063,3111011700
울산광역시 중구 반구동,14,35.5585,129.344,3111011800
울산광역시 남구 무거동,14,35.550033,129.265987,3114010100
울산광역시 남구 옥동,14,35.535292,129.293862,3114010200
울산광역시 남구 두왕동,14,35.5082,129.2998,3114010300
울산광역시 남구 신정동,14,35.5354,129.3052,3114010400
울산광역시 남구 달동,14,35.5364,129.3165,3114010500
울산광역시 남구 삼산동,14,35.544467,129.331938,3114010600
울산광역시 남구 여천동,14,35.5252,129.3554,3114010700
울산광역시 남구 야음동,14,35.5245,129.3296,3114010800
울산광역시 남구 선암동,14,35.51285,129.335263,3114010900
울산광역시 남구 상개동,14,35.5004,129.3169,3114011000
울산광역시 남구 부곡동,14,35.4984,129.3349,3114011100
울산광역시 남구 고사동,14,35.5001,129.3558,3114011200
울산광역시 남구 성암동,14,35.4827,129.3466,3114011300
울산광역시 남구 황성동,14,35.4669,129.3613,3114011400
울산광역시 남구 용연동,14,35.4823,129.3626,3114011500
울산광역시 남구 남화동,14,35.4756,129.3771,3114011600
울산광역시 남구 용잠동,14,35.4894,129.3762,3114011700
울산광역시 남구 장생포동,14,35.5052,129.373,3114011800
울산광역시 남구 매암동,14,35.512933,129.3749,3114011900
울산광역시 동구 방어동,14,35.486207,129.423935,3117010100
울산광역시 동구 화정동,14,35.493768,129.424563,3117010200
울산광역시 동구 일산동,14,35.498076,129.426275,3117010300
울산광역시 동구 전하동,14,35.513175,129.4322,3117010400
울산광역시 동구 미포동,14,35.5361,129.4434,3117010500
울산광역시 동구 주전동,14,35.5577,129.4491,3117010600
울산광역시 동구 동부동,14,35.5513,129.4248,3117010700
울산광역시 동구 서부동,14,35.532642,129.425811,3117010800
울산광역시 북구 창평동,14,35.6164,129.3671,3120010100
울산광역시 북구 호계동,14,35.6275,129.3643,3120010200
울산광역시 북구 매곡동,14,35.6512,129.3701,3120010300
울산광역시 북구 가대동,14,35.6058,129.3069,3120010400
울산광역시 북구 신천동,14,35.6381,129.3475,3120010500
울산광역시 북구 중산동,14,35.6622,129.3509,3120010600
울산광역시 북구 상안동,14,35.6182,129.3349,3120010700
울산광역시 북구 천곡동,14,35.6493,129.3219,3120010800
울산광역시 북구 달천동,14,35.632999,129.312662,3120010900
울산광역시 북구 시례동,14,35.603799,129.333275,3120011000
울산광역시 북구 무룡동,14,35.6179,129.4078,3120011100
울산광역시 북구 구유동,14,35.6044,129.4518,3120011200
울산광역시 북구 정자동,14,35.6158,129.4432,3120011300
울산광역시 북구 신명동,14,35.647,129.4373,3120011400
울산광역시 북구 대안동,14,35.6482,129.4054,3120011500
울산광역시 북구 당사동,14,35.5931,129.451,3120011600
울산광역시 북구 신현동,14,35.595599,129.41885,3120011700
울산광역시 북구 산하동,14,35.63,129.4262,3120011800
울산광역시 북구 어물동,14,35.5759,129.426175,3120011900
울산광역시 북구 명촌동,14,35.5491,129.3625,3120012000
울산광역시 북구 진장동,14,35.568192,129.3567,3120012100
울산광역시 북구 연암동,14,35.5814,129.3781,3120012200
울산광역시 북구 효문동,14,35.577792,129.361,3120012300
울산광역시 북구 양정동,14,35.545942,129.38545,3120012400
울산광역시 북구 화봉동,14,35.5926,129.3766,3120012500
울산광역시 북구 송정동,14,35.594833,129.357563,3120012600
울산광역시 북구 염포동,14,35.526925,129.3991,3120012700
울산광역시 울주군 온산읍,14,35.434635,129.31465,3171025000
울산광역시 울주군 언양읍,14,35.569449,129.125686,3171025300
울산광역시 울주군 온양읍,14,35.419013,129.28065,3171025600
울산광역시 울주군 범서읍,14,35.568951,129.230138,3171025900
울산광역시 울주군 청량읍,14,35.493193,129.306038,3171026200
울산광역시 울주군 삼남읍,14,35.536986,129.108938,3171026500
울산광역시 울주군 서생면,14,35.349312,129.326261,3171031000
울산광역시 울주군 웅촌면,14,35.466176,129.209588,3171034000
울산광역시 울주군 두동면,14,35.654342,129.201164,3171036000
울산광역시 울주군 두서면,14,35.6435,129.158905,3171037000
울산광역시 울주군 상북면,14,35.590515,129.091325,3171038000
울산광역시 울주군 삼동면,14,35.522133,129.156962,3171040000
