법정동코드	법정동명	폐지여부
4815000000	마산시	폐지
4815000100	마산시 용지동	폐지
4815000200	마산시 성주동	폐지
4815000300	마산시 웅남동	폐지
4815000400	마산시 상복동	폐지
4815000500	마산시 팔용동	폐지
4815000600	마산시 삼귀동	폐지
4815000700	마산시 북동	폐지
4815000800	마산시 중동	폐지
4815000900	마산시 서상동	폐지
4815001000	마산시 소답동	폐지
4815001100	마산시 도계동	폐지
4815001200	마산시 동정동	폐지
4815001300	마산시 소계동	폐지
4815001400	마산시 용동	폐지
4815001500	마산시 토월동	폐지
4815001600	마산시 사파정동	폐지
4815001700	마산시 가음정동	폐지
4815001800	마산시 외동	폐지
4815001900	마산시 대방동	폐지
4815002000	마산시 남산동	폐지
4815002100	마산시 삼정자동	폐지
4815002200	마산시 천선동	폐지
4815002300	마산시 불모산동	폐지
4815002400	마산시 안민동	폐지
4815002500	마산시 연덕동	폐지
4815002600	마산시 내동	폐지
4815002700	마산시 삼동동	폐지
4815002800	마산시 두대동	폐지
4815002900	마산시 덕정동	폐지
4815003000	마산시 목동	폐지
4815003100	마산시 정동	폐지
4815003200	마산시 남지동	폐지
4815003300	마산시 완암동	폐지
4815003400	마산시 창곡동	폐지
4815003500	마산시 월림동	폐지
4815003600	마산시 적현동	폐지
4815003700	마산시 양곡동	폐지
4815003800	마산시 지귀동	폐지
4815003900	마산시 서곡동	폐지
4815004000	마산시 반송동	폐지
4815004100	마산시 봉림동	폐지
4815004200	마산시 퇴촌동	폐지
4815004300	마산시 명곡동	폐지
4815004400	마산시 반계동	폐지
4815004500	마산시 사화동	폐지
4815004600	마산시 차룡동	폐지
4815004700	마산시 내리동	폐지
4815004800	마산시 귀산동	폐지
4815004900	마산시 귀곡동	폐지
4815005000	마산시 귀현동	폐지
4815005100	마산시 상북동	폐지
4815005200	마산시 가율동	폐지
4815005300	마산시 상원동	폐지
4815005400	마산시 합포동	폐지
4815005500	마산시 회산동	폐지
4815005600	마산시 율림동	폐지
4815005700	마산시 봉덕동	폐지
4815010100	마산시 가포동	폐지
4815010200	마산시 교방동	폐지
4815010300	마산시 교원동	폐지
4815010400	마산시 구암동	폐지
4815010500	마산시 남성동	폐지
4815010600	마산시 대내동	폐지
4815010700	마산시 대성동1가	폐지
4815010800	마산시 대성동2가	폐지
4815010900	마산시 대외동	폐지
4815011000	마산시 대창동	폐지
4815011100	마산시 덕동	폐지
4815011200	마산시 동성동	폐지
4815011300	마산시 두월동1가	폐지
4815011400	마산시 두월동2가	폐지
4815011500	마산시 두월동3가	폐지
4815011600	마산시 두척동	폐지
4815011700	마산시 문화동	폐지
4815011800	마산시 반월동	폐지
4815011900	마산시 봉암동	폐지
4815012000	마산시 부림동	폐지
4815012100	마산시 산호동	폐지
4815012200	마산시 상남동	폐지
4815012300	마산시 서성동	폐지
4815012400	마산시 석전동	폐지
4815012500	마산시 성호동	폐지
4815012600	마산시 수성동	폐지
4815012700	마산시 신월동	폐지
4815012800	마산시 신창동	폐지
4815012900	마산시 신포동1가	폐지
4815013000	마산시 신포동2가	폐지
4815013100	마산시 신흥동	폐지
4815013200	마산시 완월동	폐지
4815013300	마산시 양덕동	폐지
4815013400	마산시 월남동1가	폐지
4815013500	마산시 월남동2가	폐지
4815013600	마산시 월남동3가	폐지
4815013700	마산시 월남동4가	폐지
4815013800	마산시 월남동5가	폐지
4815013900	마산시 월영동	폐지
4815014000	마산시 월포동	폐지
4815014100	마산시 예곡동	폐지
4815014200	마산시 오동동	폐지
4815014300	마산시 우산동	폐지
4815014400	마산시 유록동	폐지
4815014500	마산시 자산동	폐지
4815014600	마산시 장군동1가	폐지
4815014700	마산시 장군동2가	폐지
4815014800	마산시 장군동3가	폐지
4815014900	마산시 장군동4가	폐지
4815015000	마산시 장군동5가	폐지
4815015100	마산시 중성동	폐지
4815015200	마산시 중앙동1가	폐지
4815015300	마산시 중앙동2가	폐지
4815015400	마산시 중앙동3가	폐지
4815015500	마산시 창동	폐지
4815015600	마산시 창포동1가	폐지
4815015700	마산시 창포동2가	폐지
4815015800	마산시 창포동3가	폐지
4815015900	마산시 청계동	폐지
4815016000	마산시 추산동	폐지
4815016100	마산시 평화동	폐지
4815016200	마산시 합성동	폐지
4815016300	마산시 화영동	폐지
4815016400	마산시 해운동	폐지
4815016500	마산시 현동	폐지
4815016600	마산시 홍문동	폐지
4815016700	마산시 회성동	폐지
4815016800	마산시 회원동	폐지
4815090100	마산시 월영1동	폐지
4815090200	마산시 월영2동	폐지
4815090300	마산시 상남1동	폐지
4815090400	마산시 상남2동	폐지
4815090500	마산시 산호1동	폐지
4815090600	마산시 산호2동	폐지
4815090700	마산시 회원1동	폐지
4815090800	마산시 회원2동	폐지
4815090900	마산시 석전1동	폐지
4815091000	마산시 석전2동	폐지
4815091100	마산시 양덕1동	폐지
4815091200	마산시 양덕2동	폐지
4815091300	마산시 양덕3동	폐지
4815091400	마산시 합성1동	폐지
4815091500	마산시 합성2동	폐지
4815091600	마산시 구암1동	폐지
4815091700	마산시 구암2동	폐지
4815100000	마산시 합포구	폐지
4815110100	마산시 합포구 가포동	폐지
4815110200	마산시 합포구 교방동	폐지
4815110300	마산시 합포구 교원동	폐지
4815110400	마산시 합포구 남성동	폐지
4815110500	마산시 합포구 대내동	폐지
4815110600	마산시 합포구 대성동1가	폐지
4815110700	마산시 합포구 대성동2가	폐지
4815110800	마산시 합포구 대외동	폐지
4815110900	마산시 합포구 대창동	폐지
4815111000	마산시 합포구 덕동동	폐지
4815111100	마산시 합포구 동성동	폐지
4815111200	마산시 합포구 두월동1가	폐지
4815111300	마산시 합포구 두월동2가	폐지
4815111400	마산시 합포구 두월동3가	폐지
4815111500	마산시 합포구 문화동	폐지
4815111600	마산시 합포구 반월동	폐지
