법정동코드	법정동명	폐지여부
4811000000	창원시	폐지
4811010100	창원시 북동	폐지
4811010200	창원시 중동	폐지
4811010300	창원시 서상동	폐지
4811010400	창원시 소답동	폐지
4811010500	창원시 도계동	폐지
4811010600	창원시 동정동	폐지
4811010700	창원시 소계동	폐지
4811010800	창원시 용동	폐지
4811010900	창원시 용지동	폐지
4811011000	창원시 토월동	폐지
4811011100	창원시 사파정동	폐지
4811011200	창원시 가음정동	폐지
4811011300	창원시 외동	폐지
4811011400	창원시 대방동	폐지
4811011500	창원시 남산동	폐지
4811011600	창원시 삼정자동	폐지
4811011700	창원시 천선동	폐지
4811011800	창원시 불모산동	폐지
4811011900	창원시 안민동	폐지
4811012000	창원시 연덕동	폐지
4811012100	창원시 내동	폐지
4811012200	창원시 삼동동	폐지
4811012300	창원시 두대동	폐지
4811012400	창원시 덕정동	폐지
4811012500	창원시 목동	폐지
4811012600	창원시 정동	폐지
4811012700	창원시 남지동	폐지
4811012800	창원시 상복동	폐지
4811012900	창원시 완암동	폐지
4811013000	창원시 창곡동	폐지
4811013100	창원시 월림동	폐지
4811013200	창원시 적현동	폐지
4811013300	창원시 양곡동	폐지
4811013400	창원시 지귀동	폐지
4811013500	창원시 서곡동	폐지
4811013600	창원시 반송동	폐지
4811013700	창원시 봉림동	폐지
4811013800	창원시 퇴촌동	폐지
4811013900	창원시 명곡동	폐지
4811014000	창원시 반계동	폐지
4811014100	창원시 사화동	폐지
4811014200	창원시 차용동	폐지
4811014300	창원시 내리동	폐지
4811014400	창원시 귀산동	폐지
4811014500	창원시 귀곡동	폐지
4811014600	창원시 귀현동	폐지
4811014700	창원시 신촌동	폐지
4811014800	창원시 대원동	폐지
4811014900	창원시 명서동	폐지
4811015000	창원시 반지동	폐지
4811015100	창원시 중앙동	폐지
4811015200	창원시 반림동	폐지
4811015300	창원시 상남동	폐지
4811015400	창원시 성주동	폐지
4811015500	창원시 웅남동	폐지
4811015600	창원시 사림동	폐지
4811015700	창원시 사파동	폐지
4811015800	창원시 신월동	폐지
4811015900	창원시 가음동	폐지
4811016000	창원시 봉곡동	폐지
4811016100	창원시 용호동	폐지
4811016200	창원시 팔용동	폐지
4811016300	창원시 성산동	폐지
4811016400	창원시 남양동	폐지
4811025000	창원시 동읍	폐지
4811025021	창원시 동읍 용강리	폐지
4811025022	창원시 동읍 용전리	폐지
4811025023	창원시 동읍 남산리	폐지
4811025024	창원시 동읍 덕천리	폐지
4811025025	창원시 동읍 덕산리	폐지
4811025026	창원시 동읍 봉산리	폐지
4811025027	창원시 동읍 송정리	폐지
4811025028	창원시 동읍 용정리	폐지
4811025029	창원시 동읍 단계리	폐지
4811025030	창원시 동읍 무성리	폐지
4811025031	창원시 동읍 무점리	폐지
4811025032	창원시 동읍 용잠리	폐지
4811025033	창원시 동읍 신방리	폐지
4811025034	창원시 동읍 다호리	폐지
4811025035	창원시 동읍 월잠리	폐지
4811025036	창원시 동읍 화양리	폐지
4811025037	창원시 동읍 석산리	폐지
4811025038	창원시 동읍 금산리	폐지
4811025039	창원시 동읍 봉곡리	폐지
4811025040	창원시 동읍 봉강리	폐지
4811025041	창원시 동읍 본포리	폐지
4811025042	창원시 동읍 노연리	폐지
4811025043	창원시 동읍 산남리	폐지
4811025044	창원시 동읍 죽동리	폐지
4811031000	창원시 동면	폐지
4811031021	창원시 동면 용강리	폐지
4811031022	창원시 동면 용전리	폐지
4811031023	창원시 동면 남산리	폐지
4811031024	창원시 동면 덕천리	폐지
4811031025	창원시 동면 덕산리	폐지
4811031026	창원시 동면 봉산리	폐지
4811031027	창원시 동면 송정리	폐지
4811031028	창원시 동면 용정리	폐지
4811031029	창원시 동면 단계리	폐지
4811031030	창원시 동면 무성리	폐지
4811031031	창원시 동면 무점리	폐지
4811031032	창원시 동면 용잠리	폐지
4811031033	창원시 동면 신방리	폐지
4811031034	창원시 동면 다호리	폐지
4811031035	창원시 동면 월잠리	폐지
4811031036	창원시 동면 화양리	폐지
4811031037	창원시 동면 석산리	폐지
4811031038	창원시 동면 금산리	폐지
4811031039	창원시 동면 봉곡리	폐지
4811031040	창원시 동면 봉강리	폐지
4811031041	창원시 동면 본포리	폐지
4811031042	창원시 동면 노연리	폐지
4811031043	창원시 동면 산남리	폐지
4811031044	창원시 동면 죽동리	폐지
4811032000	창원시 북면	폐지
4811032021	창원시 북면 지개리	폐지
4811032022	창원시 북면 고암리	폐지
4811032023	창원시 북면 대산리	폐지
4811032024	창원시 북면 월촌리	폐지
4811032025	창원시 북면 월백리	폐지
4811032026	창원시 북면 화천리	폐지
4811032027	창원시 북면 외감리	폐지
4811032028	창원시 북면 감계리	폐지
4811032029	창원시 북면 동전리	폐지
4811032030	창원시 북면 무동리	폐지
4811032031	창원시 북면 무곡리	폐지
4811032032	창원시 북면 내곡리	폐지
4811032033	창원시 북면 상천리	폐지
4811032034	창원시 북면 하천리	폐지
4811032035	창원시 북면 외산리	폐지
4811032036	창원시 북면 신촌리	폐지
4811032037	창원시 북면 마산리	폐지
4811032038	창원시 북면 월계리	폐지
4811033000	창원시 대산면	폐지
4811033021	창원시 대산면 갈전리	폐지
4811033022	창원시 대산면 일동리	폐지
4811033023	창원시 대산면 모산리	폐지
4811033024	창원시 대산면 가술리	폐지
4811033025	창원시 대산면 제동리	폐지
4811033026	창원시 대산면 우암리	폐지
4811033027	창원시 대산면 북부리	폐지
4811033028	창원시 대산면 유등리	폐지
4811033029	창원시 대산면 대방리	폐지
4811090100	창원시 의안동	폐지
4811090200	창원시 상북동	폐지
4811090300	창원시 삼귀동	폐지
4812000000	창원시	존재
4812100000	창원시 의창구	존재
4812110100	창원시 의창구 북동	존재
4812110200	창원시 의창구 중동	존재
4812110300	창원시 의창구 서상동	존재
4812110400	창원시 의창구 소답동	존재
4812110500	창원시 의창구 도계동	존재
4812110600	창원시 의창구 동정동	존재
4812110700	창원시 의창구 소계동	존재
4812110800	창원시 의창구 용동	존재
4812110900	창원시 의창구 용지동	폐지
4812111000	창원시 의창구 삼동동	폐지
4812111100	창원시 의창구 두대동	폐지
4812111200	창원시 의창구 덕정동	존재
4812111300	창원시 의창구 지귀동	존재
