법정동코드	법정동명	폐지여부
4700000000	경상북도	존재
4701000000	대구시	폐지
4701000100	대구시 동인동1가	폐지
4701000200	대구시 동인동2가	폐지
4701000300	대구시 동인동3가	폐지
4701000400	대구시 동인동4가	폐지
4701000500	대구시 삼덕동1가	폐지
4701000600	대구시 삼덕동2가	폐지
4701000700	대구시 삼덕동3가	폐지
4701000800	대구시 봉산동	폐지
4701000900	대구시 공평동	폐지
4701001000	대구시 문화동	폐지
4701001100	대구시 동문동	폐지
4701001200	대구시 동성로2가	폐지
4701001300	대구시 동성로3가	폐지
4701001400	대구시 교동	폐지
4701001500	대구시 완전동	폐지
4701001600	대구시 용덕동	폐지
4701001700	대구시 상덕동	폐지
4701001800	대구시 태평로1가	폐지
4701001900	대구시 동일동	폐지
4701002000	대구시 남일동	폐지
4701002100	대구시 사일동	폐지
4701002200	대구시 서성로1가	폐지
4701002300	대구시 인교동	폐지
4701002400	대구시 서야동	폐지
4701002500	대구시 수창동	폐지
4701002600	대구시 시장북로	폐지
4701002700	대구시 도원동(桃園)	폐지
4701002800	대구시 태평로3가	폐지
4701002900	대구시 서문로2가	폐지
4701003000	대구시 남성로	폐지
4701003100	대구시 계산동1가	폐지
4701003200	대구시 계산동2가	폐지
4701003300	대구시 하서동	폐지
4701003400	대구시 동산동	폐지
4701003500	대구시 서성로2가	폐지
4701003600	대구시 종로2가	폐지
4701003700	대구시 장관동	폐지
4701003800	대구시 수동	폐지
4701003900	대구시 덕산동	폐지
4701004000	대구시 화전동	폐지
4701004100	대구시 향촌동	폐지
4701004200	대구시 북성로1가	폐지
4701004300	대구시 북성로2가	폐지
4701004400	대구시 동성로1가	폐지
4701004500	대구시 서문로1가	폐지
4701004600	대구시 포정동	폐지
4701004700	대구시 대안동	폐지
4701004800	대구시 서내동	폐지
4701004900	대구시 북내동	폐지
4701005000	대구시 태평로2가	폐지
4701005100	대구시 종로1가	폐지
4701005200	대구시 전동	폐지
4701005300	대구시 상서동	폐지
4701005400	대구시 달성동	폐지
4701005500	대구시 대신동	폐지
4701005600	대구시 대봉동	폐지
4701005700	대구시 신암동	폐지
4701005800	대구시 신천동	폐지
4701005900	대구시 효목동	폐지
4701006000	대구시 평광동	폐지
4701006100	대구시 도동	폐지
4701006200	대구시 봉무동	폐지
4701006300	대구시 불로동	폐지
4701006400	대구시 지저동	폐지
4701006500	대구시 입석동	폐지
4701006600	대구시 검사동	폐지
4701006700	대구시 방촌동	폐지
4701006800	대구시 둔산동	폐지
4701006900	대구시 부동	폐지
4701007000	대구시 신평동	폐지
4701007100	대구시 범어동	폐지
4701007200	대구시 만촌동	폐지
4701007300	대구시 수성동	폐지
4701007400	대구시 중동	폐지
4701007500	대구시 상동	폐지
4701007600	대구시 파동	폐지
4701007700	대구시 두산동	폐지
4701007800	대구시 지산동	폐지
4701007900	대구시 범물동	폐지
4701008000	대구시 성당동	폐지
4701008100	대구시 내당동	폐지
4701008200	대구시 비산동	폐지
4701008300	대구시 평리동	폐지
4701008400	대구시 상리동	폐지
4701008500	대구시 이현동	폐지
4701008600	대구시 원대동	폐지
4701008700	대구시 노곡동	폐지
4701008800	대구시 조야동	폐지
4701008900	대구시 봉덕동	폐지
4701009000	대구시 대명동	폐지
4701009100	대구시 남산동	폐지
4701009200	대구시 칠성동1가	폐지
4701009300	대구시 칠성동2가	폐지
4701009400	대구시 침산동	폐지
4701009500	대구시 산격동	폐지
4701009600	대구시 대현동	폐지
4701009700	대구시 동변동	폐지
4701009800	대구시 서변동	폐지
4701009900	대구시 복현동	폐지
4701010000	대구시 수성동1가	폐지
4701010100	대구시 수성동2가	폐지
4701010200	대구시 수성동3가	폐지
4701010300	대구시 수성동4가	폐지
4701010400	대구시 읍산동	폐지
4701010500	대구시 읍호동	폐지
4701010600	대구시 호림동	폐지
4701010700	대구시 신당동	폐지
4701010800	대구시 이곡동	폐지
4701010900	대구시 장동	폐지
4701011000	대구시 장기동	폐지
4701011100	대구시 용산동	폐지
4701011200	대구시 죽전동	폐지
4701011300	대구시 본리동	폐지
4701011400	대구시 감삼동	폐지
4701011500	대구시 진천동	폐지
4701011600	대구시 상인동	폐지
4701011700	대구시 도원동(桃源)	폐지
4701011800	대구시 유천동	폐지
4701011900	대구시 대천동	폐지
4701012000	대구시 월성동	폐지
4701012100	대구시 월암동	폐지
4701012200	대구시 송현동	폐지
4701012300	대구시 도동	폐지
4701012400	대구시 검단동	폐지
4701012500	대구시 정대동	폐지
4701012600	대구시 행정동	폐지
4701012700	대구시 상원동	폐지
4701012800	대구시 단산동	폐지
4701012900	대구시 대일동	폐지
4701013000	대구시 한천동	폐지
4701013100	대구시 우미동	폐지
4701013200	대구시 삼각동	폐지
4701013300	대구시 주동	폐지
4701013400	대구시 지사동	폐지
4701013500	대구시 덕곡동	폐지
4701013600	대구시 송정동	폐지
4701013700	대구시 중대동	폐지
4701013800	대구시 신용동	폐지
4701013900	대구시 내동	폐지
4701014000	대구시 신무동	폐지
4701014100	대구시 백안동	폐지
4701014200	대구시 용수동	폐지
4701014300	대구시 미곡동	폐지
4701014400	대구시 도학동	폐지
4701014500	대구시 능성동	폐지
4701014600	대구시 연경동	폐지
4701014700	대구시 진안동	폐지
4701014800	대구시 지모동	폐지
4701014900	대구시 파산동	폐지
4701015000	대구시 파호동	폐지
4701015100	대구시 갈산동	폐지
4701100000	대구시 중구	폐지
4701100100	대구시 중구 동인동1가	폐지
4701100200	대구시 중구 동인동2가	폐지
4701100300	대구시 중구 동인동3가	폐지
4701100400	대구시 중구 동인동4가	폐지
4701100500	대구시 중구 삼덕동1가	폐지
4701100600	대구시 중구 삼덕동2가	폐지
4701100700	대구시 중구 삼덕동3가	폐지
4701100800	대구시 중구 봉산동	폐지
4701100900	대구시 중구 공평동	폐지
4701101000	대구시 중구 문화동	폐지
4701101100	대구시 중구 동문동	폐지
4701101200	대구시 중구 동성로2가	폐지
4701101300	대구시 중구 동성로3가	폐지
4701101400	대구시 중구 교동	폐지
4701101500	대구시 중구 완전동	폐지
4701101600	대구시 중구 용덕동	폐지
4701101700	대구시 중구 상덕동	폐지
4701101800	대구시 중구 태평로1가	폐지
4701101900	대구시 중구 동일동	폐지
4701102000	대구시 중구 남일동	폐지
4701102100	대구시 중구 사일동	폐지
4701102200	대구시 중구 서성로1가	폐지
4701102300	대구시 중구 인교동	폐지
4701102400	대구시 중구 서야동	폐지
4701102500	대구시 중구 수창동	폐지
4701102600	대구시 중구 시장북로	폐지
4701102700	대구시 중구 도원동	폐지
4701102800	대구시 중구 태평로3가	폐지
4701102900	대구시 중구 서문로2가	폐지
4701103000	대구시 중구 남성로	폐지
4701103100	대구시 중구 계산동1가	폐지
4701103200	대구시 중구 계산동2가	폐지
4701103300	대구시 중구 하서동	폐지
4701103400	대구시 중구 동산동	폐지
4701103500	대구시 중구 서성로2가	폐지
4701103600	대구시 중구 종로2가	폐지
4701103700	대구시 중구 장관동	폐지
4701103800	대구시 중구 수동	폐지
4701103900	대구시 중구 덕산동	폐지
4701104000	대구시 중구 화전동	폐지
4701104100	대구시 중구 향촌동	폐지
4701104200	대구시 중구 북성로1가	폐지
4701104300	대구시 중구 북성로2가	폐지
4701104400	대구시 중구 동성로1가	폐지
4701104500	대구시 중구 서문로1가	폐지
4701104600	대구시 중구 포정동	폐지
4701104700	대구시 중구 대안동	폐지
4701104800	대구시 중구 서내동	폐지
4701104900	대구시 중구 북내동	폐지
4701105000	대구시 중구 태평로2가	폐지
4701105100	대구시 중구 종로1가	폐지
4701105200	대구시 중구 전동	폐지
4701105300	대구시 중구 상서동	폐지
4701105400	대구시 중구 달성동	폐지
4701105500	대구시 중구 대신동	폐지
4701105600	대구시 중구 남산동	폐지
4701105700	대구시 중구 대봉동	폐지
4701105800	대구시 중구 신암동	폐지
4701200000	대구시 중구	폐지
4701200100	대구시 중구 신암동	폐지
4701200200	대구시 중구 신천동	폐지
4701200300	대구시 중구 효목동	폐지
4701200400	대구시 중구 평광동	폐지
4701200500	대구시 중구 도동	폐지
4701200600	대구시 중구 봉무동	폐지
4701200700	대구시 중구 불로동	폐지
4701200800	대구시 중구 지저동	폐지
4701200900	대구시 중구 입석동	폐지
4701201000	대구시 중구 검사동	폐지
4701201100	대구시 중구 방촌동	폐지
4701201200	대구시 중구 둔산동	폐지
4701201300	대구시 중구 부동	폐지
4701201400	대구시 중구 신평동	폐지
4701201500	대구시 중구 안심동	폐지
4701201600	대구시 중구 율화동	폐지
4701201700	대구시 중구 신기동	폐지
4701201800	대구시 중구 용계동	폐지
4701201900	대구시 중구 율암동	폐지
4701202000	대구시 중구 상매동	폐지
4701202100	대구시 중구 매여동	폐지
4701202200	대구시 중구 동내동	폐지
4701202300	대구시 중구 괴전동	폐지
4701202400	대구시 중구 금강동	폐지
4701202500	대구시 중구 대림동	폐지
4701202600	대구시 중구 사복동	폐지
4701202700	대구시 중구 숙천동	폐지
4701202800	대구시 중구 내곡동	폐지
4701202900	대구시 중구 동호동	폐지
4701203000	대구시 중구 서호동	폐지
4701203100	대구시 중구 각산동	폐지
4701203200	대구시 중구 능성동	폐지
4701203300	대구시 중구 진안동	폐지
4701203400	대구시 중구 도학동	폐지
4701203500	대구시 중구 백안동	폐지
4701203600	대구시 중구 미곡동	폐지
4701203700	대구시 중구 용수동	폐지
4701203800	대구시 중구 신무동	폐지
4701203900	대구시 중구 미대동	폐지
4701204000	대구시 중구 내동	폐지
4701204100	대구시 중구 지묘동	폐지
4701204200	대구시 중구 연경동	폐지
4701204300	대구시 중구 덕곡동	폐지
4701204400	대구시 중구 송정동	폐지
4701204500	대구시 중구 신용동	폐지
4701204600	대구시 중구 중대동	폐지
4701204700	대구시 중구 황청동	폐지
4701204800	대구시 중구 범어동	폐지
4701204900	대구시 중구 만촌동	폐지
4701205000	대구시 중구 범물동	폐지
4701205100	대구시 중구 수성동1가	폐지
4701205200	대구시 중구 수성동2가	폐지
4701205300	대구시 중구 수성동3가	폐지
4701205400	대구시 중구 수성동4가	폐지
4701205500	대구시 중구 중동	폐지
4701205600	대구시 중구 상동	폐지
4701205700	대구시 중구 파동	폐지
4701205800	대구시 중구 두산동	폐지
4701205900	대구시 중구 지산동	폐지
4701206000	대구시 중구 황천동	폐지
4701206100	대구시 중구 황금동	폐지
4701300000	대구시 서구	폐지
4701300100	대구시 서구 성당동	폐지
4701300200	대구시 서구 내당동	폐지
4701300300	대구시 서구 비산동	폐지
4701300400	대구시 서구 평리동	폐지
4701300500	대구시 서구 상리동	폐지
4701300600	대구시 서구 중리동	폐지
4701300700	대구시 서구 이현동	폐지
4701300800	대구시 서구 원대동1가	폐지
4701300900	대구시 서구 원대동2가	폐지
4701301000	대구시 서구 원대동3가	폐지
4701301100	대구시 서구 장동	폐지
4701301200	대구시 서구 장기동	폐지
4701301300	대구시 서구 용산동	폐지
4701301400	대구시 서구 감삼동	폐지
4701301500	대구시 서구 죽전동	폐지
4701301600	대구시 서구 이곡동	폐지
4701301700	대구시 서구 파산동	폐지
4701301800	대구시 서구 호림동	폐지
4701301900	대구시 서구 파호동	폐지
4701302000	대구시 서구 갈산동	폐지
4701302100	대구시 서구 신당동	폐지
4701302200	대구시 서구 본리동	폐지
4701302300	대구시 서구 원대동4가	폐지
4701302400	대구시 서구 원대동5가	폐지
4701302500	대구시 서구 원대동6가	폐지
4701302600	대구시 서구 원대동	폐지
4701302700	대구시 서구 노곡동	폐지
4701302800	대구시 서구 조야동	폐지
4701400000	대구시 남구	폐지
4701400100	대구시 남구 이천동	폐지
4701400200	대구시 남구 봉덕동	폐지
4701400300	대구시 남구 대명동	폐지
4701400400	대구시 남구 월성동	폐지
4701400500	대구시 남구 대천동	폐지
4701400600	대구시 남구 월암동	폐지
4701400700	대구시 남구 상인동	폐지
4701400800	대구시 남구 도원동	폐지
4701400900	대구시 남구 진천동	폐지
4701401000	대구시 남구 대곡동	폐지
4701401100	대구시 남구 유천동	폐지
4701401200	대구시 남구 송현동	폐지
4701401300	대구시 남구 남산동	폐지
4701401400	대구시 남구 대봉동	폐지
4701500000	대구시 북구	폐지
4701500100	대구시 북구 고성동1가	폐지
4701500200	대구시 북구 고성동2가	폐지
4701500300	대구시 북구 고성동3가	폐지
4701500400	대구시 북구 칠성동1가	폐지
4701500500	대구시 북구 칠성동2가	폐지
4701500600	대구시 북구 침산동	폐지
4701500700	대구시 북구 노원동3가	폐지
4701500800	대구시 북구 산격동	폐지
4701500900	대구시 북구 대현동	폐지
4701501000	대구시 북구 동변동	폐지
4701501100	대구시 북구 서변동	폐지
4701501200	대구시 북구 관음동	폐지
4701501300	대구시 북구 사수동	폐지
4701501400	대구시 북구 동천동	폐지
4701501500	대구시 북구 읍내동	폐지
4701501600	대구시 북구 학정동	폐지
4701501700	대구시 북구 도남동	폐지
4701501800	대구시 북구 태평로3가	폐지
4701501900	대구시 북구 태평로4가	폐지
4701502000	대구시 북구 태평로5가	폐지
4701502100	대구시 북구 태평로6가	폐지
4701502200	대구시 북구 검단동	폐지
4701502300	대구시 북구 복현동	폐지
4701502400	대구시 북구 노곡동	폐지
4701502500	대구시 북구 조야동	폐지
4701502600	대구시 북구 노원동1가	폐지
4701502700	대구시 북구 노원동2가	폐지
4701600000	대구시 수성구	폐지
4701600100	대구시 수성구 범어동	폐지
4701600200	대구시 수성구 만촌동	폐지
4701600300	대구시 수성구 황금동	폐지
4701600400	대구시 수성구 중동	폐지
4701600500	대구시 수성구 상동	폐지
4701600600	대구시 수성구 파동	폐지
4701600700	대구시 수성구 두산동	폐지
4701600800	대구시 수성구 지산동	폐지
4701600900	대구시 수성구 범물동	폐지
4701601000	대구시 수성구 성동	폐지
4701601100	대구시 수성구 매호동	폐지
4701601200	대구시 수성구 사월동	폐지
4701601300	대구시 수성구 신매동	폐지
4701601400	대구시 수성구 노변동	폐지
4701601500	대구시 수성구 욱수동	폐지
4701601600	대구시 수성구 시지동	폐지
4701601700	대구시 수성구 내관동	폐지
4701601800	대구시 수성구 삼덕동	폐지
4701601900	대구시 수성구 연호동	폐지
