법정동코드	법정동명	폐지여부
4713000000	경주시	존재
4713010100	경주시 동부동	존재
4713010200	경주시 서부동	존재
4713010300	경주시 북부동	존재
4713010400	경주시 성동동	존재
4713010500	경주시 황오동	존재
4713010600	경주시 노동동	존재
4713010700	경주시 노서동	존재
4713010800	경주시 성건동	존재
4713010900	경주시 사정동	존재
4713011000	경주시 황남동	존재
4713011100	경주시 교동	존재
4713011200	경주시 인왕동	존재
4713011300	경주시 탑동	존재
4713011400	경주시 충효동	존재
4713011500	경주시 서악동	존재
4713011600	경주시 효현동	존재
4713011700	경주시 광명동	존재
4713011800	경주시 동방동	존재
4713011900	경주시 도지동	존재
4713012000	경주시 남산동	존재
4713012100	경주시 배반동	존재
4713012200	경주시 구황동	존재
4713012300	경주시 보문동	존재
4713012400	경주시 황성동	존재
4713012500	경주시 용강동	존재
4713012600	경주시 동천동	존재
4713012700	경주시 평동	존재
4713012800	경주시 조양동	존재
4713012900	경주시 시동	존재
4713013000	경주시 시래동	존재
4713013100	경주시 구정동	존재
4713013200	경주시 마동	존재
4713013300	경주시 하동	존재
4713013400	경주시 진현동	존재
4713013500	경주시 천군동	존재
4713013600	경주시 신평동	존재
4713013700	경주시 덕동	존재
4713013800	경주시 암곡동	존재
4713013900	경주시 황용동	존재
4713014000	경주시 북군동	존재
4713014100	경주시 손곡동	존재
4713014200	경주시 율동	존재
4713014300	경주시 배동	존재
4713014400	경주시 석장동	존재
4713025000	경주시 감포읍	존재
4713025021	경주시 감포읍 대본리	존재
4713025022	경주시 감포읍 전동리	존재
4713025023	경주시 감포읍 전촌리	존재
4713025024	경주시 감포읍 나정리	존재
4713025025	경주시 감포읍 오류리	존재
4713025026	경주시 감포읍 노동리	존재
4713025027	경주시 감포읍 팔조리	존재
4713025028	경주시 감포읍 호동리	존재
4713025029	경주시 감포읍 감포리	존재
4713025300	경주시 안강읍	존재
4713025321	경주시 안강읍 검단리	존재
4713025322	경주시 안강읍 사방리	존재
4713025323	경주시 안강읍 갑산리	존재
4713025324	경주시 안강읍 대동리	존재
4713025325	경주시 안강읍 근계리	존재
4713025326	경주시 안강읍 육통리	존재
4713025327	경주시 안강읍 노당리	존재
4713025328	경주시 안강읍 옥산리	존재
4713025329	경주시 안강읍 두류리	존재
4713025330	경주시 안강읍 하곡리	존재
4713025331	경주시 안강읍 강교리	존재
4713025332	경주시 안강읍 산대리	존재
4713025333	경주시 안강읍 안강리	존재
4713025334	경주시 안강읍 양월리	존재
4713025335	경주시 안강읍 청령리	존재
4713025600	경주시 건천읍	존재
4713025621	경주시 건천읍 대곡리	존재
4713025622	경주시 건천읍 용명리	존재
4713025623	경주시 건천읍 신평리	존재
4713025624	경주시 건천읍 송선리	존재
4713025625	경주시 건천읍 천포리	존재
4713025626	경주시 건천읍 화천리	존재
4713025627	경주시 건천읍 모량리	존재
4713025628	경주시 건천읍 방내리	존재
4713025629	경주시 건천읍 조전리	존재
4713025630	경주시 건천읍 금척리	존재
4713025631	경주시 건천읍 건천리	존재
4713025900	경주시 외동읍	존재
4713025921	경주시 외동읍 입실리	존재
4713025922	경주시 외동읍 모화리	존재
4713025923	경주시 외동읍 석계리	존재
4713025924	경주시 외동읍 녹동리	존재
4713025925	경주시 외동읍 냉천리	존재
4713025926	경주시 외동읍 제내리	존재
4713025927	경주시 외동읍 연안리	존재
4713025928	경주시 외동읍 개곡리	존재
4713025929	경주시 외동읍 활성리	존재
4713025930	경주시 외동읍 말방리	존재
4713025931	경주시 외동읍 죽동리	존재
4713025932	경주시 외동읍 구어리	존재
4713025933	경주시 외동읍 방어리	존재
4713025934	경주시 외동읍 괘릉리	존재
4713025935	경주시 외동읍 신계리	존재
4713025936	경주시 외동읍 문산리	존재
4713025937	경주시 외동읍 북토리	존재
4713031000	경주시 양북면	폐지
4713031021	경주시 양북면 어일리	폐지
4713031022	경주시 양북면 입천리	폐지
4713031023	경주시 양북면 두산리	폐지
4713031024	경주시 양북면 송전리	폐지
4713031025	경주시 양북면 죽전리	폐지
4713031026	경주시 양북면 구길리	폐지
4713031027	경주시 양북면 용당리	폐지
4713031028	경주시 양북면 봉길리	폐지
4713031029	경주시 양북면 권이리	폐지
4713031030	경주시 양북면 호암리	폐지
4713031031	경주시 양북면 용동리	폐지
4713031032	경주시 양북면 와읍리	폐지
4713031033	경주시 양북면 안동리	폐지
4713031034	경주시 양북면 장항리	폐지
4713031035	경주시 양북면 범곡리	폐지
4713031500	경주시 문무대왕면	존재
4713031521	경주시 문무대왕면 어일리	존재
4713031522	경주시 문무대왕면 입천리	존재
4713031523	경주시 문무대왕면 두산리	존재
4713031524	경주시 문무대왕면 송전리	존재
4713031525	경주시 문무대왕면 죽전리	존재
4713031526	경주시 문무대왕면 구길리	존재
