법정동코드	법정동명	폐지여부
4511000000	전라북도 전주시	존재
4511000100	전라북도 전주시 중앙동1가	폐지
4511000200	전라북도 전주시 중앙동2가	폐지
4511000300	전라북도 전주시 중앙동3가	폐지
4511000400	전라북도 전주시 중앙동4가	폐지
4511000500	전라북도 전주시 경원동1가	폐지
4511000600	전라북도 전주시 경원동2가	폐지
4511000700	전라북도 전주시 경원동3가	폐지
4511000800	전라북도 전주시 풍남동1가	폐지
4511000900	전라북도 전주시 풍남동2가	폐지
4511001000	전라북도 전주시 풍남동3가	폐지
4511001100	전라북도 전주시 전동1가	폐지
4511001200	전라북도 전주시 전동2가	폐지
4511001300	전라북도 전주시 전동3가	폐지
4511001400	전라북도 전주시 다가동1가	폐지
4511001500	전라북도 전주시 다가동2가	폐지
4511001600	전라북도 전주시 다가동3가	폐지
4511001700	전라북도 전주시 다가동4가	폐지
4511001800	전라북도 전주시 고사동1가	폐지
4511001900	전라북도 전주시 고사동2가	폐지
4511002000	전라북도 전주시 교동1가	폐지
4511002100	전라북도 전주시 교동2가	폐지
4511002200	전라북도 전주시 태평동	폐지
4511002300	전라북도 전주시 중노송동	폐지
4511002400	전라북도 전주시 동완산동1가	폐지
4511002500	전라북도 전주시 동완산동2가	폐지
4511002600	전라북도 전주시 서완산동1가	폐지
4511002700	전라북도 전주시 서완산동2가	폐지
4511002800	전라북도 전주시 중화산동1가	폐지
4511002900	전라북도 전주시 중화산동2가	폐지
4511003000	전라북도 전주시 진북동	폐지
4511003100	전라북도 전주시 덕진동1가	폐지
4511003200	전라북도 전주시 덕진동2가	폐지
4511003300	전라북도 전주시 우아동1가	폐지
4511003400	전라북도 전주시 우아동2가	폐지
4511003500	전라북도 전주시 우아동3가	폐지
4511003600	전라북도 전주시 호성동1가	폐지
4511003700	전라북도 전주시 호성동2가	폐지
4511003800	전라북도 전주시 호성동3가	폐지
4511003900	전라북도 전주시 전미동1가	폐지
4511004000	전라북도 전주시 전미동2가	폐지
4511004100	전라북도 전주시 평화동1가	폐지
4511004200	전라북도 전주시 평화동2가	폐지
4511004300	전라북도 전주시 평화동3가	폐지
4511004400	전라북도 전주시 삼천동1가	폐지
4511004500	전라북도 전주시 삼천동2가	폐지
