거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"17,000",,1971,2021,성북동,성북,1,26,37.36,,348-3,11290,4,,
"86,000",,2004,2021,돈암동,이수브라운스톤돈암,1,2,59.99,,636,11290,6,,
"98,000",,2004,2021,돈암동,이수브라운스톤돈암,1,2,84.97,,636,11290,14,,
"59,300",,1998,2021,돈암동,한진(609-1),1,5,59.58,,609-1,11290,3,,
"85,000",,2003,2021,돈암동,동부센트레빌,1,6,80.54,,633,11290,17,,
"88,900",,2007,2021,돈암동,돈암힐스테이트,1,6,84.74,,639,11290,11,,
"107,500",,2014,2021,돈암동,길음역금호어울림센터힐,1,7,84.98,,643,11290,18,,
"98,000",,1998,2021,돈암동,한신,1,7,132.96,,609-1,11290,1,,
"69,000",,1998,2021,돈암동,범양,1,9,59.79,,631,11290,3,,
"68,200",,1998,2021,돈암동,한신,1,9,68.13,,609-1,11290,16,,
"64,300",,1999,2021,돈암동,돈암동삼성,1,10,59.4,,15-1,11290,2,,
"87,000",,2005,2021,돈암동,일신건영휴먼빌아파트,1,13,117.16,,524,11290,2,,
"77,000",,2004,2021,돈암동,이수브라운스톤돈암,1,13,59.99,,636,11290,16,,
"87,000",,2005,2021,돈암동,일신건영휴먼빌아파트,1,13,117.16,,524,11290,2,21.04.14,O
"118,000",,2013,2021,돈암동,돈암동해피트리,1,14,132.43,,642,11290,5,,
"91,000",,2013,2021,돈암동,돈암동해피트리,1,14,84.98,,642,11290,9,,
"61,000",,1998,2021,돈암동,한진(609-1),1,15,59.58,,609-1,11290,3,,
"70,000",,1999,2021,돈암동,돈암동삼성,1,16,59.4,,15-1,11290,17,,
"60,500",,1998,2021,돈암동,한진(609-1),1,16,59.58,,609-1,11290,6,,
"87,500",,2006,2021,돈암동,돈암동더샵아파트,1,16,84.817,,603,11290,19,,
"84,800",,2004,2021,돈암동,이수브라운스톤돈암,1,16,59.99,,636,11290,9,,
"67,300",,1998,2021,돈암동,한신,1,18,68.13,,609-1,11290,4,,
"92,000",,1999,2021,돈암동,돈암동삼성,1,19,114.66,,15-1,11290,15,,
"89,000",,1998,2021,돈암동,한신,1,20,84.87,,609-1,11290,11,,
"70,000",,1998,2021,돈암동,한신,1,20,68.13,,609-1,11290,15,,
"100,000",,2014,2021,돈암동,길음역금호어울림센터힐,1,21,84.77,,643,11290,18,,
"87,700",,2003,2021,돈암동,동부센트레빌,1,21,80.54,,633,11290,5,,
"60,000",,1998,2021,돈암동,한진(609-1),1,22,59.58,,609-1,11290,16,,
"90,500",,2004,2021,돈암동,이수브라운스톤돈암,1,23,84.97,,636,11290,3,,
"106,000",,2014,2021,돈암동,길음역금호어울림센터힐,1,23,84.88,,643,11290,6,,
"67,700",,1998,2021,돈암동,한신,1,23,68.13,,609-1,11290,20,,
"97,500",,1999,2021,돈암동,돈암동삼성,1,25,114.66,,15-1,11290,23,,
"92,500",,1999,2021,돈암동,돈암동삼성,1,25,114.66,,15-1,11290,11,,
"60,000",,1998,2021,돈암동,한진(609-1),1,25,59.58,,609-1,11290,2,,
"89,000",,2003,2021,돈암동,동부센트레빌,1,26,81.82,,633,11290,6,,
"80,000",,1998,2021,돈암동,한진(609-1),1,27,132.96,,609-1,11290,10,,
"60,500",,1998,2021,돈암동,한진(609-1),1,28,59.58,,609-1,11290,6,,
"93,000",,1998,2021,돈암동,한신,1,28,152.25,,609-1,11290,11,,
"80,000",,2004,2021,돈암동,이수브라운스톤돈암,1,29,59.99,,636,11290,2,,
"59,000",,1998,2021,돈암동,한진(609-1),1,29,59.58,,609-1,11290,11,,
"60,000",,1998,2021,돈암동,한진(609-1),1,29,59.58,,609-1,11290,15,,
"83,800",,1998,2021,돈암동,한진(609-1),1,30,84.87,,609-1,11290,2,,
"79,800",,2004,2021,돈암동,이수브라운스톤돈암,1,30,59.99,,636,11290,9,,
"106,000",,1998,2021,돈암동,한신,1,30,132.96,,609-1,11290,7,,
"76,300",,2004,2021,돈암동,이수브라운스톤돈암,1,30,59.99,,636,11290,1,,
"100,000",,2005,2021,돈암동,일신건영휴먼빌아파트,1,30,117.16,,524,11290,10,,
"72,500",,1999,2021,돈암동,돈암동삼성,1,30,59.4,,15-1,11290,16,,
"92,000",,2004,2021,돈암동,이수브라운스톤돈암,1,30,84.97,,636,11290,10,,
"83,000",,1998,2021,동소문동4가,송산아파트,1,9,84.87,,279,11290,16,,
"20,800",,2018,2021,동소문동5가,성신여대역솔하임,1,22,14.093,,15,11290,13,21.03.03,O
"79,500",,2004,2021,동소문동7가,한신플러스C,1,9,59.91,,23,11290,7,,
"84,500",,2010,2021,동소문동7가,브라운스톤동선,1,26,59.96,,120,11290,9,,
"34,000",,2004,2021,동소문동7가,샤인힐,1,29,72.66,,75-10,11290,7,,
"109,500",,2009,2021,삼선동2가,삼선현대힐스테이트,1,4,114.86,,420,11290,9,,
"87,900",,2008,2021,삼선동2가,삼선푸르지오,1,5,84.83,,425,11290,6,,
"93,400",,2008,2021,삼선동2가,삼선푸르지오,1,9,84.83,,425,11290,10,,
"79,000",,2008,2021,삼선동2가,삼선푸르지오,1,11,59.95,,425,11290,1,,
"90,000",,2008,2021,삼선동2가,삼선푸르지오,1,16,84.83,,425,11290,8,,
"78,000",,2008,2021,삼선동2가,삼선푸르지오,1,19,59.95,,425,11290,4,,
"73,000",,2009,2021,삼선동2가,삼선현대힐스테이트,1,20,56.83,,420,11290,2,,
"73,000",,2009,2021,삼선동2가,삼선현대힐스테이트,1,22,56.83,,420,11290,8,,
"79,000",,2008,2021,삼선동2가,삼선푸르지오,1,25,59.95,,425,11290,6,,
"108,000",,2008,2021,삼선동2가,삼선푸르지오,1,28,114.65,,425,11290,9,,
