거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"27,000",,2000,2021,무거동,울산옥현1주공,1,3,59.89,,477-1,31140,5,,
"20,200",,2001,2021,무거동,아름문수빌라트101동,1,4,84.73,,1003-5,31140,5,,
"14,400",,1990,2021,무거동,협성벽산,1,5,70.86,,569-4,31140,3,,
"14,800",,1995,2021,무거동,무거현대,1,5,59.94,,832-2,31140,16,,
"24,000",,1997,2021,무거동,굴화주공1,1,6,59.99,,275-1,31140,11,,
"25,800",,1995,2021,무거동,무거현대,1,8,84.96,,832-2,31140,16,,
"31,000",,2018,2021,무거동,울산대이즈플레이스,1,8,64.41,,1527-4,31140,13,,
"16,100",,1995,2021,무거동,무거현대,1,10,62.88,,832-2,31140,7,,
"33,000",,2001,2021,무거동,옥현으뜸마을주공3,1,10,59.78,,488-13,31140,9,,
"6,400",,1992,2021,무거동,영남행복맨션,1,11,33.75,,564-1,31140,1,,
"15,800",,1996,2021,무거동,무거한라1차,1,12,59.4,,1535-1,31140,8,,
"9,500",,1988,2021,무거동,남운그린힐,1,12,59.4,,927-6,31140,14,,
"23,800",,1996,2021,무거동,동서그린맨션5,1,12,84.895,,1549-2,31140,7,,
"29,000",,2000,2021,무거동,울산옥현1주공,1,12,59.89,,477-1,31140,11,,
"9,050",,1988,2021,무거동,남운그린힐,1,13,59.4,,927-6,31140,6,,
"16,600",,1996,2021,무거동,동서그린맨션5,1,13,59.77,,1549-2,31140,5,,
"25,000",,1995,2021,무거동,무거현대,1,13,74.4,,832-2,31140,10,,
"21,500",,1990,2021,무거동,청구하이츠,1,13,84.87,,828-3,31140,6,,
"20,400",,1989,2021,무거동,부성타워맨션,1,14,84.76,,220-1,31140,15,,
"17,900",,1997,2021,무거동,무거청구맨션,1,14,59.895,,1551,31140,14,,
"7,700",,1992,2021,무거동,삼호시영,1,15,39.9,,1448-1,31140,2,,
"73,000",,2013,2021,무거동,무거위브자이,1,15,84.976,,1594,31140,15,,
"23,100",,1996,2021,무거동,무거한라1차,1,15,84.81,,1535-1,31140,19,,
"15,800",,1995,2021,무거동,굴화주공2,1,16,39.74,,276-1,31140,13,,
"20,500",,1990,2021,무거동,청구하이츠,1,17,84.87,,828-3,31140,8,,
"13,500",,1996,2021,무거동,신복현대,1,17,59.76,,1553,31140,5,,
"19,500",,1997,2021,무거동,무거청구맨션,1,19,84.87,,1551,31140,1,,
"17,100",,1995,2021,무거동,무거현대,1,19,74.4,,832-2,31140,13,,
"26,500",,2000,2021,무거동,울산옥현1주공,1,20,59.89,,477-1,31140,10,,
"8,600",,1988,2021,무거동,남운그린힐,1,21,59.4,,927-6,31140,7,,
"13,500",,1996,2021,무거동,신복현대,1,25,59.76,,1553,31140,9,,
"8,450",,1992,2021,무거동,영남행복맨션,1,25,33.75,,564-1,31140,4,,
"14,400",,1995,2021,무거동,무거현대,1,26,62.88,,832-2,31140,4,21.02.03,O
"25,300",,2018,2021,무거동,울산대이즈플레이스,1,27,60.61,,1527-4,31140,17,,
"13,800",,1996,2021,무거동,신복현대,1,28,59.76,,1553,31140,6,,
