거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"42,000",,2011,2021,매곡동,월드메르디앙월드시티,1,2,104.1191,,864,31200,8,21.05.24,O
"8,400",,1994,2021,매곡동,매곡현대,1,2,49.805,,532,31200,9,,
"45,000",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,6,84.8412,,895,31200,2,,
"51,500",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,6,84.8412,,895,31200,14,,
"8,500",,1994,2021,매곡동,매곡현대,1,6,49.805,,532,31200,5,,
"8,450",,1997,2021,매곡동,현대으뜸타운,1,7,59.95,,233,31200,8,,
"8,800",,1996,2021,매곡동,정림은하수타운,1,8,59.75,,542-22,31200,12,,
"39,900",,2011,2021,매곡동,월드메르디앙월드시티,1,8,104.1191,,864,31200,13,,
"54,800",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,9,84.9044,,895,31200,22,,
"35,500",,2011,2021,매곡동,월드메르디앙월드시티,1,10,84.8844,,864,31200,9,,
"42,900",,2011,2021,매곡동,월드메르디앙월드시티,1,11,129.796,,864,31200,24,,
"8,400",,1994,2021,매곡동,매곡현대,1,12,49.805,,532,31200,5,,
"8,500",,1994,2021,매곡동,매곡현대,1,13,49.805,,532,31200,1,,
"9,000",,1994,2021,매곡동,매곡현대,1,13,49.805,,532,31200,4,,
"44,800",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,13,71.883,,895,31200,9,,
"8,500",,1994,2021,매곡동,매곡현대,1,13,49.805,,532,31200,1,21.01.21,O
"51,000",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,15,84.9044,,895,31200,17,,
"7,000",,1994,2021,매곡동,매곡현대,1,16,49.805,,532,31200,12,,
"53,000",,2017,2021,매곡동,드림인시티에일린의뜰2차,1,16,84.9044,,895,31200,33,,
"39,000",,2016,2021,매곡동,오토밸리로효성해링턴플레이스아파트,1,16,84.8348,,917,31200,17,,
"12,100",,1993,2021,매곡동,대하그린파크,1,17,73.395,,682,31200,13,,
"38,800",,2011,2021,매곡동,월드메르디앙월드시티,1,17,84.8997,,864,31200,25,,
"37,800",,2011,2021,매곡동,월드메르디앙월드시티,1,17,84.8997,,864,31200,6,,
"63,900",,2017,2021,매곡동,드림인시티에일린의뜰1차,1,18,101.716,,897,31200,18,,
