거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"10,500",,1997,2021,온산읍 덕신리,동원아파트1차,1,1,59.94,,1329-2,31710,3,,
"7,800",,1991,2021,온산읍 덕신리,무궁화,1,4,81.9,,336-1,31710,5,,
"6,300",,1992,2021,온산읍 덕신리,덕신동백,1,4,49.85,,1329-4,31710,5,,
"6,500",,1992,2021,온산읍 덕신리,덕신동백,1,6,49.85,,1329-4,31710,4,,
"6,700",,1992,2021,온산읍 덕신리,덕신동백,1,9,49.85,,1329-4,31710,13,,
"5,500",,1992,2021,온산읍 덕신리,덕신동백,1,9,49.85,,1329-4,31710,2,,
"19,100",,2008,2021,온산읍 덕신리,가화파티오,1,11,84.965,,184-1,31710,4,,
"15,800",,2003,2021,온산읍 덕신리,동원아파트2차,1,13,73.098,,1329-2,31710,9,,
"6,000",,1992,2021,온산읍 덕신리,덕신동백,1,14,49.85,,1329-4,31710,13,,
"5,500",,1992,2021,온산읍 덕신리,덕신주공,1,14,39.99,,1329-5,31710,3,,
"15,800",,2003,2021,온산읍 덕신리,동원아파트2차,1,16,84.9,,1329-2,31710,9,,
"5,200",,1992,2021,온산읍 덕신리,덕신주공,1,16,39.99,,1329-5,31710,1,,
"6,300",,1996,2021,온산읍 덕신리,덕신동백,1,20,49.85,,1329-4,31710,14,,
"10,400",,2005,2021,온산읍 덕신리,덕신천지,1,20,59.925,,184,31710,7,,
"6,500",,1991,2021,온산읍 덕신리,무궁화,1,20,67.5,,336-1,31710,3,,
"7,500",,1991,2021,온산읍 덕신리,무궁화,1,22,67.5,,336-1,31710,2,,
"15,500",,2003,2021,온산읍 덕신리,동원아파트2차,1,26,84.9,,1329-2,31710,4,,
"6,500",,1992,2021,온산읍 덕신리,덕신동백,1,28,49.85,,1329-4,31710,6,,
"9,650",,1991,2021,온산읍 덕신리,무궁화,1,30,81.9,,336-1,31710,3,,
"6,600",,1992,2021,온산읍 덕신리,덕신동백,1,30,49.85,,1329-4,31710,10,,
"10,000",,1994,2021,언양읍 반천리,반천현대,1,10,84.89,,1023-51,31710,5,,
"10,400",,1994,2021,언양읍 반천리,반천현대,1,13,84.89,,1023-51,31710,14,,
"11,400",,1994,2021,언양읍 반천리,반천현대,1,13,77.43,,1023-51,31710,10,,
"11,500",,1994,2021,언양읍 반천리,반천현대,1,13,77.43,,1023-51,31710,7,,
"8,000",,1995,2021,언양읍 반천리,반천현대,1,19,59.75,,1023-51,31710,14,,
"7,100",,1994,2021,언양읍 반천리,반천현대,1,23,59.75,,1023-51,31710,3,,
"24,900",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,2,63.9584,,53-1,31710,6,,
"32,100",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,8,84.969,,53-1,31710,13,,
"25,800",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,9,63.9584,,53-1,31710,15,,
"24,900",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,11,63.9584,,53-1,31710,15,,
"22,900",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,12,63.9584,,53-1,31710,2,,
"24,300",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,13,72.0911,,53-1,31710,4,,
"28,500",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,14,72.8926,,53-1,31710,12,,
"25,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,15,63.9584,,53-1,31710,16,,
"26,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,17,72.8926,,53-1,31710,19,,
"25,700",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,17,72.8926,,53-1,31710,10,,
"23,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,17,63.9584,,53-1,31710,7,,
"24,500",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,23,72.8188,,53-1,31710,7,,
"22,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,24,63.9584,,53-1,31710,2,,
"26,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,24,72.8926,,53-1,31710,14,,
"25,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,27,72.8926,,53-1,31710,9,,
"25,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,27,72.8188,,53-1,31710,19,,
"27,500",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,27,72.8926,,53-1,31710,17,,
"25,800",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,27,72.0911,,53-1,31710,10,,
"25,500",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,30,72.8926,,53-1,31710,4,,
"25,700",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,30,72.8188,,53-1,31710,4,,
"29,000",,2019,2021,언양읍 송대리,양우내안애더퍼스트,1,30,84.969,,53-1,31710,2,,
"26,500",,2010,2021,언양읍 동부리,신울산경남아너스빌,1,1,84.7195,,498,31710,21,,
"16,700",,1998,2021,언양읍 동부리,산정동부빌라트,1,5,84.965,,385-3,31710,11,,
"29,900",,2010,2021,언양읍 동부리,신울산경남아너스빌,1,5,84.7195,,498,31710,20,,
"27,500",,2010,2021,언양읍 동부리,신울산경남아너스빌,1,5,84.819,,498,31710,4,,
"16,000",,2015,2021,언양읍 동부리,센텀아파트,1,8,80.02,,363-2,31710,2,,
"16,000",,2015,2021,언양읍 동부리,센텀아파트,1,8,80.02,,363-2,31710,2,21.02.01,O
"10,000",,1999,2021,언양읍 동부리,언양동부주공,1,12,49.85,,360-1,31710,15,,
"10,300",,2002,2021,언양읍 동부리,동현아트빌,1,13,80.81,,372-9,31710,7,,
"12,200",,1999,2021,언양읍 동부리,언양동부주공,1,14,49.85,,360-1,31710,4,,
"17,400",,2015,2021,언양읍 동부리,센텀아파트,1,14,80.02,,363-2,31710,3,,
"31,500",,2010,2021,언양읍 동부리,신울산경남아너스빌,1,14,118.3019,,498,31710,3,,
"12,000",,1999,2021,언양읍 동부리,언양동부주공,1,17,49.85,,360-1,31710,13,,
"14,000",,2002,2021,언양읍 동부리,동현아트빌,1,19,80.81,,372-9,31710,4,,
"8,000",,1989,2021,언양읍 동부리,청구맨션B동,1,22,67.7,,252-3,31710,3,,
