거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"30,000",,2016,2021,학성동,남경해밀턴,1,5,84.6938,,432-426,31110,6,,
"11,000",,1979,2021,학성동,중앙맨션,1,6,81.65,,429-2,31110,4,,
"35,790",,2020,2021,학성동,영우트리지움,1,12,84.7701,,470-4,31110,10,,
"28,800",,2016,2021,학성동,남경해밀턴,1,13,84.6938,,432-426,31110,3,,
"28,300",,2016,2021,학성동,남경해밀턴,1,15,83.3766,,432-426,31110,2,,
"30,200",,2016,2021,학성동,남경해밀턴,1,15,83.3766,,432-426,31110,13,,
"21,500",,2005,2021,학성동,창우크리스탈,1,18,83.66,,425-5,31110,8,,
"28,700",,1991,2021,학성동,남운학성타운,1,19,133.76,,379,31110,10,,
"30,800",,2016,2021,학성동,창조애드웰,1,20,83.773,,345-1,31110,5,,
"29,300",,2016,2021,학성동,남경해밀턴,1,27,84.6938,,432-426,31110,4,,
"16,500",,1991,2021,학성동,남운학성타운,1,28,65.34,,379,31110,6,,
"35,790",,2020,2021,학성동,영우트리지움,1,28,84.7701,,470-4,31110,9,,
"6,000",,1994,2021,학산동,코코타운,1,12,44.07,,75-1,31110,13,,
"16,200",,1994,2021,학산동,코코타운,1,26,71.28,,75-1,31110,7,,
"18,000",,1989,2021,복산동,동덕현대(101동102동),1,4,84.78,,677-9,31110,3,21.02.15,O
"8,450",,2016,2021,복산동,번영로드림파크,1,5,28.1749,,40-9,31110,11,,
"18,900",,2004,2021,복산동,보림빌,1,5,81.405,,364-4,31110,3,,
"18,900",,2004,2021,복산동,보림빌,1,5,81.405,,364-4,31110,3,21.01.19,O
"9,000",,2016,2021,복산동,번영로드림파크,1,7,29.7414,,40-9,31110,12,,
"8,700",,2016,2021,복산동,번영로드림파크,1,7,28.1749,,40-9,31110,9,,
"14,700",,1991,2021,복산동,동덕현대(104동),1,13,67.435,,319,31110,8,,
"20,000",,1991,2021,복산동,동덕현대(103동),1,18,77.19,,329,31110,9,,
"18,000",,1989,2021,복산동,동덕현대(101동102동),1,20,84.78,,677-9,31110,3,,
"17,900",,1991,2021,복산동,동덕현대(104동),1,20,67.435,,319,31110,6,,
"58,500",,2015,2021,복산동,번영로효성해링턴플레이스2차아파트,1,20,84.5117,,770,31110,1,,
"46,500",,2017,2021,복산동,복산아이파크,1,21,59.84,,776,31110,7,,
"30,800",,1989,2021,복산동,새운파래스,1,22,115.635,,186-3,31110,10,,
"21,600",,1991,2021,복산동,동덕현대(105동106동),1,22,84.9775,,320,31110,8,,
"59,000",,2018,2021,복산동,번영로서한이다음2단지,1,23,84.5902,,780,31110,7,,
"63,000",,2017,2021,복산동,복산아이파크,1,23,84.88,,776,31110,11,,
"17,800",,1991,2021,복산동,동덕현대(104동),1,28,67.435,,319,31110,15,,
"67,000",,2018,2021,복산동,번영로서한이다음1단지,1,29,84.5902,,779,31110,8,,
